name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Gavin Stupienski,Jr,UNCW,C,285,0.472,71.684,32.069,1.05,0.46,0.59,0.347,0.243,0.345,0.102,0.14,0.049
Mike Brosseau,Sr,Oakland,INF,219,0.472,55.083,24.642,1.036,0.466,0.57,0.355,0.215,0.366,0.11,0.119,0.046
Garrett Gandolfo,Sr,Southeast Mo. St.,OF,288,0.472,72.439,32.407,1.04,0.458,0.582,0.356,0.226,0.376,0.108,0.149,0.031
Larry Barraza,Sr,Grambling,INF,204,0.471,51.126,22.77,1.05,0.426,0.624,0.359,0.265,0.376,0.118,0.088,0.044
Bryce Brown,So,Jackson St.,OF,242,0.471,60.649,27.011,1.017,0.479,0.538,0.36,0.178,0.423,0.157,0.132,0.029
Austin Hays,Jr,Jacksonville,OF,246,0.471,61.651,27.457,1.078,0.423,0.655,0.35,0.305,0.348,0.13,0.065,0.065
David Greer,Jr,Arizona St.,INF,262,0.471,65.661,29.243,1.04,0.469,0.571,0.344,0.227,0.394,0.164,0.145,0.031
Will Smith,Jr,Louisville,C,203,0.471,50.875,22.658,1.04,0.473,0.567,0.382,0.185,0.371,0.069,0.094,0.034
Brett Netzer,So,Charlotte,INF,245,0.47,61.178,27.123,1.02,0.465,0.555,0.384,0.171,0.404,0.082,0.102,0.02
Brett Barbier,Jr,Cal Poly,C,259,0.47,64.674,28.673,0.988,0.506,0.482,0.352,0.13,0.409,0.135,0.158,0.012
D.J. Artis,Fr,Liberty,OF,286,0.47,71.416,31.662,0.974,0.51,0.464,0.369,0.095,0.408,0.098,0.182,0.007
Ryan Williams,So,California Baptist,OF,141,0.469,35.081,15.482,1.078,0.426,0.652,0.33,0.322,0.384,0.234,0.121,0.071
Colby Wright,Sr,Kansas,INF,222,0.469,55.234,24.376,1.026,0.464,0.562,0.341,0.221,0.36,0.095,0.108,0.027
Taylor Walls,So,Florida St.,INF,311,0.469,77.377,34.148,0.995,0.479,0.516,0.355,0.161,0.412,0.145,0.19,0.019
Jose Delatorre,Sr,Southern U.,C,145,0.469,36.076,15.921,0.998,0.476,0.522,0.339,0.183,0.391,0.159,0.179,0.034
Michael Morman,Sr,Richmond,OF,234,0.469,58.219,25.693,1.018,0.474,0.544,0.369,0.175,0.382,0.068,0.107,0.017
Brian Mims,So,UNCW,INF,301,0.468,74.616,32.777,1.049,0.435,0.614,0.371,0.243,0.458,0.226,0.11,0.047
Ross Haffey,So,Miami (OH),INF,253,0.468,62.717,27.55,1.038,0.439,0.599,0.355,0.244,0.449,0.241,0.13,0.043
Doug Teegarden,Sr,Eastern Ky.,INF,143,0.468,35.449,15.572,1.002,0.483,0.519,0.317,0.202,0.329,0.119,0.196,0.042
Leland Saile,Jr,Navy,OF,151,0.468,37.432,16.443,1.054,0.424,0.63,0.385,0.245,0.435,0.159,0.06,0.033
Darick Hall,Jr,DBU,INF,276,0.468,68.418,30.054,1.066,0.431,0.635,0.3,0.335,0.302,0.181,0.109,0.072
John Sansone,Sr,Florida St.,INF,306,0.467,75.578,33.044,1.027,0.451,0.576,0.37,0.206,0.398,0.114,0.095,0.029
Paul Panaccione,Sr,Grand Canyon,INF,181,0.467,44.704,19.545,1.007,0.486,0.521,0.363,0.158,0.374,0.077,0.138,0.022
Luke Meeteer,Sr,Milwaukee,OF,254,0.467,62.734,27.428,1.017,0.48,0.537,0.362,0.175,0.399,0.126,0.118,0.024
Trey Silvers,Jr,Lamar University,INF,118,0.467,29.144,12.742,1.074,0.398,0.676,0.314,0.362,0.364,0.246,0.119,0.068
Bradley Haslam,Jr,Air Force,INF,255,0.466,62.75,27.305,1.013,0.455,0.558,0.408,0.15,0.426,0.067,0.063,0.012
R.J. Devish,Sr,Rutgers,C,231,0.466,56.844,24.735,0.954,0.519,0.435,0.375,0.06,0.411,0.082,0.177,0.004
David Mackinnon,Jr,Hartford,INF,258,0.466,63.488,27.626,1.013,0.469,0.544,0.392,0.152,0.409,0.07,0.112,0.016
Robby Rinn,Sr,Bryant,INF,274,0.466,67.425,29.339,1.041,0.449,0.592,0.373,0.219,0.37,0.062,0.102,0.022
Trey Hair,Jr,Evansville,INF,252,0.466,62.012,26.984,1.031,0.44,0.591,0.34,0.251,0.414,0.214,0.115,0.04
Jeremy Martinez,Jr,Southern California,C,255,0.466,62.75,27.305,1.022,0.459,0.563,0.376,0.187,0.374,0.047,0.075,0.024
Nick Solak,Jr,Louisville,INF,206,0.465,50.505,21.871,1.025,0.461,0.564,0.376,0.188,0.401,0.107,0.136,0.024
Dwanya Williams-Sutton,Fr,East Carolina,OF,211,0.465,51.731,22.402,1.009,0.464,0.545,0.354,0.191,0.453,0.223,0.123,0.024
Dondrayas Harris,N/A,Southern U.,OF,176,0.464,42.99,18.526,0.994,0.472,0.522,0.346,0.176,0.415,0.176,0.125,0.017
Brennon Lund,Jr,BYU,OF,272,0.463,66.193,28.385,0.991,0.46,0.531,0.387,0.144,0.451,0.136,0.085,0.007
Nick Sergakis,Sr,Ohio St.,INF,292,0.463,71.06,30.472,1.015,0.473,0.542,0.332,0.21,0.35,0.116,0.123,0.034
Jordan Glover,Jr,Delaware,OF,233,0.462,56.49,24.103,1.014,0.459,0.555,0.36,0.195,0.411,0.15,0.103,0.021
Connor Crane,Sr,McNeese,INF,248,0.462,60.127,25.655,1.023,0.456,0.567,0.341,0.226,0.387,0.165,0.073,0.036
Kevin Lachance,Sr,UMBC,INF,235,0.462,56.975,24.31,1.009,0.472,0.537,0.371,0.166,0.391,0.094,0.119,0.026
Shannon Washington,Jr,Prairie View,INF,116,0.461,28.019,11.895,1.043,0.414,0.629,0.32,0.309,0.391,0.25,0.121,0.052
Trey Truitt,So,Mercer,OF,290,0.461,70.047,29.737,1.06,0.424,0.636,0.335,0.301,0.395,0.231,0.138,0.059
Chase Chambers,So,Tennessee Tech,INF,185,0.461,44.685,18.97,0.991,0.454,0.537,0.313,0.224,0.376,0.205,0.119,0.043
Carl Stajduhar,So,New Mexico,INF,297,0.461,71.738,30.455,1.047,0.424,0.623,0.331,0.292,0.337,0.148,0.098,0.061
Keston Hiura,So,UC Irvine,INF,236,0.46,56.789,23.985,1.018,0.479,0.539,0.358,0.181,0.415,0.186,0.106,0.03
Jake Mangum,Fr,Mississippi St.,OF,223,0.46,53.661,22.664,0.985,0.475,0.51,0.408,0.102,0.449,0.09,0.063,0.004
Carmen Benedetti,Jr,Michigan,INF,239,0.459,57.295,24.074,0.976,0.481,0.495,0.326,0.169,0.369,0.117,0.184,0.013
Boomer White,Jr,Texas A&M,C,302,0.459,72.397,30.419,0.987,0.47,0.517,0.386,0.131,0.393,0.053,0.109,0.017
Corbin Olmstead,Sr,North Florida,P,263,0.459,63.048,26.491,1.007,0.449,0.558,0.359,0.199,0.38,0.125,0.114,0.046
Ronnie Dawson,Jr,Ohio St.,OF,300,0.459,71.918,30.218,1.028,0.417,0.611,0.331,0.28,0.356,0.143,0.123,0.043
Adam Bauer,Jr,Murray St.,OF,267,0.459,64.007,26.894,0.98,0.453,0.527,0.341,0.186,0.4,0.154,0.135,0.019
Luke Ringhofer,So,South Dakota St.,C,254,0.458,60.66,25.354,0.953,0.488,0.465,0.361,0.104,0.378,0.067,0.169,0.012
Reed Gamache,Sr,Binghamton,INF,240,0.458,57.316,23.956,0.995,0.45,0.545,0.366,0.179,0.416,0.154,0.096,0.029
Joe Daru,Sr,New York Tech,OF,173,0.458,41.316,17.269,1.025,0.422,0.603,0.365,0.238,0.395,0.139,0.064,0.035
Nick Zammarelli,Jr,Elon,INF,260,0.458,62.093,25.953,1.021,0.431,0.59,0.342,0.248,0.381,0.158,0.119,0.035
Keaton Kringlen,Fr,BYU,OF,165,0.457,39.255,16.32,1.002,0.442,0.56,0.369,0.191,0.405,0.139,0.109,0.03
Ramsey Scott,Jr,Murray St.,INF,240,0.457,57.099,23.739,1.033,0.421,0.612,0.335,0.277,0.361,0.175,0.112,0.054
Shaine Hughes,So,Monmouth,INF,188,0.457,44.727,18.595,0.985,0.463,0.522,0.385,0.137,0.389,0.032,0.09,0.005
Gene Cone,Jr,South Carolina,OF,268,0.456,63.517,26.265,0.968,0.47,0.498,0.363,0.135,0.394,0.097,0.168,0.015
Dan Holst,Jr,Southeast Mo. St.,OF,285,0.456,67.546,27.931,0.988,0.467,0.521,0.322,0.199,0.385,0.175,0.193,0.028
Matt Parrish,Sr,Campbell,C,200,0.456,47.401,19.601,0.981,0.455,0.526,0.371,0.155,0.44,0.16,0.08,0.015
Josh Bunselmeyer,Sr,Saint Louis,INF,251,0.456,59.488,24.599,1.013,0.434,0.579,0.325,0.254,0.352,0.163,0.147,0.048
Hunter Dolshun,Jr,UMBC,INF,201,0.455,47.455,19.516,1.031,0.428,0.603,0.345,0.258,0.311,0.07,0.104,0.065
Bobby Melley,Sr,UConn,INF,276,0.455,65.163,26.799,0.99,0.464,0.526,0.313,0.213,0.324,0.112,0.159,0.04
Jake Salpietro,Sr,Fairfield,OF,264,0.455,62.329,25.633,1.007,0.436,0.571,0.344,0.227,0.432,0.235,0.114,0.038
Jordan Gould,Sr,Jacksonville,INF,247,0.455,58.316,23.983,1.005,0.441,0.564,0.332,0.232,0.397,0.198,0.126,0.036
Fabian Pena,Fr,Manhattan,C,241,0.455,56.899,23.4,1.013,0.415,0.598,0.35,0.248,0.4,0.174,0.087,0.037
Dre Gleason,Jr,Austin Peay,INF,250,0.455,59.024,24.274,0.987,0.452,0.535,0.32,0.215,0.396,0.22,0.172,0.036
Tyler Fullerton,Sr,Belmont,INF,152,0.455,35.887,14.759,1.011,0.421,0.59,0.328,0.262,0.374,0.184,0.066,0.046
Cj Chatham,Jr,Fla. Atlantic,INF,277,0.454,65.147,26.644,1.002,0.448,0.554,0.357,0.197,0.389,0.13,0.083,0.029
Niko Buentello,Jr,Auburn,INF,249,0.454,58.562,23.951,1.003,0.434,0.569,0.332,0.237,0.383,0.193,0.12,0.044
Andrew Moritz,Fr,UNC Greensboro,OF,192,0.454,45.156,18.468,1.008,0.438,0.57,0.4,0.17,0.448,0.109,0.094,0.005
Clayton Taylor,Sr,Omaha,INF,259,0.454,60.914,24.913,1.015,0.471,0.544,0.326,0.218,0.355,0.17,0.127,0.042
Pete Guy,Sr,UNC Asheville,C,257,0.453,60.21,24.487,0.962,0.459,0.503,0.246,0.257,0.317,0.265,0.206,0.047
Cavan Biggio,Jr,Notre Dame,INF,254,0.453,59.507,24.201,0.938,0.484,0.454,0.311,0.143,0.356,0.126,0.213,0.016
Ben Ellzey,Jr,Florida A&M,INF,218,0.453,51.073,20.771,0.984,0.459,0.525,0.391,0.134,0.446,0.142,0.069,0.018
Jack Kruger,Jr,Mississippi St.,C,246,0.452,57.41,23.216,0.993,0.443,0.55,0.344,0.206,0.368,0.118,0.122,0.033
Zarley Zalewski,Sr,Kent St.,INF,270,0.452,63.011,25.481,0.966,0.459,0.507,0.349,0.158,0.463,0.233,0.1,0.019
Michael Tinsley,Jr,Kansas,C,249,0.452,58.11,23.499,0.965,0.47,0.495,0.377,0.118,0.4,0.072,0.129,0.008
John Giakas,Sr,Fairleigh Dickinson,INF,234,0.452,54.609,22.083,1.026,0.415,0.611,0.345,0.266,0.317,0.051,0.081,0.056
Ryan Cleveland,Jr,Ga. Southern,INF,270,0.451,62.766,25.236,1.016,0.43,0.586,0.286,0.3,0.347,0.259,0.141,0.056
Riley Delgado,Jr,Middle Tenn.,INF,254,0.451,59.046,23.74,0.933,0.496,0.437,0.388,0.049,0.408,0.047,0.134,0.0
Lee Solomon,So,Lipscomb,INF,277,0.451,64.393,25.89,0.96,0.462,0.498,0.37,0.128,0.452,0.17,0.13,0.014
Nick Angelini,Fr,Bryant,OF,207,0.45,47.933,19.16,0.949,0.464,0.485,0.353,0.132,0.389,0.106,0.126,0.014
Logan Ice,Jr,Oregon St.,C,223,0.449,51.435,20.438,0.998,0.435,0.563,0.31,0.253,0.318,0.112,0.166,0.031
Justin Bellinger,So,Duke,INF,162,0.449,37.366,14.848,0.997,0.426,0.571,0.336,0.235,0.435,0.265,0.117,0.043
Jesus Santana,So,Jackson St.,INF,266,0.449,61.353,24.379,1.015,0.421,0.594,0.278,0.316,0.307,0.237,0.15,0.064
Will Savage,Jr,Columbia,INF,189,0.449,43.593,17.322,0.947,0.46,0.487,0.367,0.12,0.394,0.079,0.138,0.011
Brock Carpenter,Jr,Seattle U,INF,254,0.449,58.585,23.279,0.973,0.441,0.532,0.327,0.205,0.408,0.209,0.161,0.028
Collin Fleischer,So,VMI,INF,250,0.449,57.663,22.913,1.01,0.428,0.582,0.298,0.284,0.329,0.212,0.14,0.06
Scott Schreiber,So,Nebraska,INF,220,0.449,50.743,20.163,1.02,0.391,0.629,0.325,0.304,0.336,0.177,0.068,0.073
Carlos Ocasio,Jr,Alabama St.,OF,252,0.449,58.124,23.096,1.01,0.417,0.593,0.33,0.263,0.378,0.214,0.087,0.052
A.J. David,Sr,California Baptist,OF,199,0.449,45.9,18.239,1.039,0.397,0.642,0.358,0.284,0.333,0.06,0.075,0.05
Mike Garzillo,Sr,Lehigh,INF,236,0.449,54.434,21.63,0.994,0.432,0.562,0.313,0.249,0.388,0.229,0.114,0.038
Dalton Thomas,Jr,Little Rock,C,254,0.448,58.355,23.049,0.999,0.417,0.582,0.375,0.207,0.413,0.146,0.047,0.035
Steven Linkous,Sr,UNCW,INF,295,0.448,67.775,26.77,0.953,0.461,0.492,0.374,0.118,0.463,0.173,0.119,0.003
Chase Hamilton,Jr,Austin Peay,OF,214,0.448,49.165,19.419,1.017,0.397,0.62,0.332,0.288,0.35,0.15,0.103,0.056
Richard Slenker,Jr,Yale,INF,191,0.447,43.708,17.159,0.963,0.45,0.513,0.342,0.171,0.37,0.105,0.12,0.016
Matt Gonzalez,Sr,Georgia Tech,INF,273,0.447,62.472,24.525,1.009,0.432,0.577,0.378,0.199,0.408,0.143,0.066,0.04
Matt Rothenberg,So,Harvard,INF,143,0.447,32.724,12.847,0.955,0.455,0.5,0.363,0.137,0.441,0.161,0.126,0.0
Ryan Kirby,Jr,San Diego,OF,149,0.447,34.097,13.386,0.985,0.423,0.562,0.344,0.218,0.373,0.148,0.114,0.04
Greg Kaiser,Sr,Purdue Fort Wayne,INF,259,0.445,58.799,22.798,1.026,0.382,0.644,0.313,0.331,0.333,0.201,0.066,0.066
Cesar Trejo,Fr,UNC Greensboro,INF,202,0.445,45.858,17.78,0.998,0.411,0.587,0.363,0.224,0.427,0.208,0.074,0.045
J.B. Woodman,Jr,Ole Miss,OF,275,0.445,62.431,24.206,1.0,0.422,0.578,0.323,0.255,0.347,0.175,0.12,0.051
Tyler Mcvicar,Sr,Elon,INF,238,0.445,54.031,20.949,0.974,0.429,0.545,0.315,0.23,0.429,0.273,0.13,0.038
Riley Adams,So,San Diego,C,255,0.445,57.891,22.446,0.955,0.443,0.512,0.327,0.185,0.389,0.18,0.145,0.024
