name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Kyle Lewis,Jr,Mercer,OF,280,0.596,101.933,63.013,1.381,0.65,0.731,0.395,0.336,0.425,0.171,0.236,0.071
Jameson Fisher,Jr,Southeastern La.,C,264,0.582,92.754,56.058,1.321,0.629,0.692,0.424,0.268,0.445,0.117,0.205,0.042
Will Craig,Jr,Wake Forest,INF,234,0.57,79.666,47.14,1.316,0.585,0.731,0.379,0.352,0.393,0.15,0.201,0.068
Zack Collins,Jr,Miami (FL),C,261,0.569,88.621,52.342,1.289,0.621,0.668,0.363,0.305,0.424,0.203,0.299,0.061
Seth Beer,Fr,Clemson,OF,274,0.566,92.289,54.203,1.291,0.591,0.7,0.369,0.331,0.352,0.099,0.226,0.066
Ryan Scott,Sr,Little Rock,OF,252,0.554,82.135,47.107,1.253,0.54,0.713,0.435,0.278,0.477,0.131,0.107,0.048
Deon  Jr. Stafford,So,Saint Joseph's,C,255,0.529,77.328,41.883,1.2,0.498,0.702,0.395,0.307,0.435,0.176,0.141,0.071
Jack Kraft,Sr,Coppin St.,P,137,0.525,41.048,22.005,1.202,0.467,0.735,0.354,0.381,0.429,0.241,0.131,0.073
Chris Osborne,Jr,Southeast Mo. St.,OF,193,0.523,57.476,30.649,1.197,0.456,0.741,0.367,0.374,0.411,0.202,0.083,0.078
Cornelius Copeland,Jr,Jackson St.,INF,249,0.523,74.153,39.542,1.154,0.526,0.628,0.42,0.208,0.433,0.064,0.104,0.02
Brett Cumberland,So,California,C,226,0.52,66.688,35.274,1.178,0.5,0.678,0.344,0.334,0.368,0.177,0.168,0.071
Stephen Lohr,Jr,California Baptist,C,247,0.52,72.885,38.552,1.159,0.494,0.665,0.403,0.262,0.417,0.089,0.146,0.04
Daniel Barnett,Jr,Grambling,INF,226,0.519,66.483,35.069,1.151,0.504,0.647,0.408,0.239,0.41,0.075,0.15,0.04
Brady Policelli,Jr,Towson,INF,253,0.518,74.196,39.029,1.15,0.53,0.62,0.375,0.245,0.434,0.166,0.178,0.036
Heath Quinn,Jr,Samford,OF,284,0.516,82.772,43.296,1.186,0.504,0.682,0.343,0.339,0.369,0.194,0.155,0.074
Kevin Strohschein,Fr,Tennessee Tech,OF,254,0.513,73.337,38.031,1.172,0.465,0.707,0.393,0.314,0.466,0.22,0.087,0.059
Logan Gray,Jr,Austin Peay,INF,191,0.511,54.8,28.251,1.163,0.476,0.687,0.356,0.331,0.447,0.257,0.141,0.063
Brennan Washington,Jr,Belmont,OF,285,0.505,80.218,40.603,1.128,0.495,0.633,0.33,0.303,0.423,0.249,0.175,0.053
Peter Alonso,Jr,Florida,INF,254,0.505,71.493,36.187,1.139,0.48,0.659,0.374,0.285,0.382,0.122,0.122,0.055
Chris Devito,Jr,New Mexico,C,266,0.5,73.664,36.69,1.14,0.455,0.685,0.375,0.31,0.376,0.117,0.109,0.06
Jake Burger,So,Missouri St.,INF,260,0.5,72.002,35.862,1.158,0.469,0.689,0.349,0.34,0.335,0.135,0.088,0.081
Caleb Stayton,Jr,Ball St.,C,270,0.499,74.526,36.996,1.107,0.493,0.614,0.377,0.237,0.416,0.148,0.156,0.041
Matt Smith,Jr,Western Caro.,P,287,0.498,78.958,39.065,1.087,0.505,0.582,0.388,0.194,0.408,0.105,0.15,0.035
Kyle Thornell,Sr,SFA,INF,247,0.498,67.954,33.621,1.107,0.49,0.617,0.342,0.275,0.421,0.223,0.134,0.045
L.J. Kalawaia,Sr,UNC Greensboro,OF,274,0.498,75.382,37.296,1.082,0.504,0.578,0.396,0.182,0.435,0.117,0.146,0.022
Sheldon Neuse,Jr,Oklahoma,INF,240,0.498,66.028,32.668,1.117,0.471,0.646,0.369,0.277,0.423,0.179,0.162,0.042
Matt Albanese,Jr,Bryant,OF,222,0.497,60.874,30.016,1.104,0.468,0.636,0.364,0.272,0.352,0.068,0.126,0.05
Taylor Braley,So,Southern Miss.,INF,120,0.497,32.905,16.225,1.146,0.458,0.688,0.323,0.365,0.313,0.167,0.133,0.083
Dillon Cooper,Sr,Alabama St.,OF,240,0.496,65.592,32.232,1.11,0.475,0.635,0.354,0.281,0.377,0.133,0.121,0.042
Kevin Hall,Sr,North Ala.,OF,205,0.496,56.027,27.532,1.1,0.473,0.627,0.39,0.237,0.452,0.171,0.102,0.039
Tyler Jones,Jr,Air Force,OF,256,0.496,69.965,34.381,1.132,0.438,0.694,0.36,0.334,0.386,0.184,0.062,0.074
Mandy Alvarez,Sr,Eastern Ky.,INF,262,0.496,71.605,35.187,1.112,0.466,0.646,0.409,0.237,0.412,0.092,0.084,0.05
Taylor Hayes,Sr,North Ala.,OF,180,0.496,49.194,24.174,1.109,0.467,0.642,0.358,0.284,0.455,0.239,0.117,0.05
Matt Thaiss,Jr,Virginia,C,269,0.495,73.274,35.883,1.087,0.502,0.585,0.38,0.205,0.376,0.059,0.138,0.037
Luken Baker,Fr,TCU,INF,295,0.494,80.088,39.083,1.075,0.498,0.577,0.379,0.198,0.419,0.132,0.153,0.037
Chris Okey,Jr,Clemson,C,293,0.493,79.28,38.553,1.096,0.485,0.611,0.339,0.272,0.386,0.184,0.174,0.051
Alec Wong,Sr,Florida A&M,INF,242,0.492,65.261,31.623,1.049,0.521,0.528,0.378,0.15,0.425,0.12,0.165,0.021
Eric Gutierrez,Sr,Texas Tech,INF,292,0.491,78.479,37.891,1.091,0.51,0.581,0.333,0.248,0.344,0.127,0.144,0.045
Jackson Lueck,Fr,Florida St.,OF,167,0.491,44.884,21.671,1.067,0.491,0.576,0.379,0.197,0.495,0.222,0.126,0.024
Danny Hudzina,Sr,Western Ky.,INF,242,0.491,65.041,31.403,1.076,0.512,0.564,0.408,0.156,0.415,0.05,0.107,0.017
Dillon Stewart,Jr,UNC Greensboro,OF,267,0.49,71.518,34.405,1.122,0.457,0.665,0.335,0.33,0.359,0.169,0.169,0.052
Alex Call,Jr,Ball St.,OF,284,0.49,76.071,36.595,1.114,0.447,0.667,0.358,0.309,0.366,0.102,0.102,0.046
Kyle Nowlin,Sr,Eastern Ky.,OF,254,0.49,68.036,32.73,1.126,0.469,0.657,0.3,0.357,0.336,0.26,0.197,0.083
Nick Feight,So,UNCW,C,278,0.489,74.212,35.57,1.143,0.417,0.726,0.349,0.377,0.328,0.126,0.104,0.076
Matt Whatley,So,Oral Roberts,C,239,0.488,63.584,30.363,1.072,0.51,0.562,0.363,0.199,0.392,0.121,0.163,0.033
Tyler Lawrence,Jr,Murray St.,C,260,0.488,69.171,33.031,1.07,0.481,0.589,0.355,0.234,0.412,0.162,0.169,0.031
Bryan Reynolds,Jr,Vanderbilt,OF,281,0.486,74.248,35.189,1.08,0.477,0.603,0.33,0.273,0.391,0.206,0.174,0.046
Vinny Mallaro,Jr,Buffalo,OF,216,0.486,57.073,27.049,1.093,0.444,0.649,0.351,0.298,0.417,0.222,0.088,0.06
Josh Palacios,Jr,Auburn,OF,165,0.486,43.597,20.662,1.069,0.461,0.608,0.385,0.223,0.45,0.164,0.115,0.03
Connor Owings,Sr,Coastal Carolina,INF,309,0.485,81.366,38.415,1.092,0.456,0.636,0.352,0.284,0.424,0.217,0.155,0.052
Michael Cruz,Jr,Bethune-Cookman,C,255,0.485,67.146,31.701,1.083,0.478,0.605,0.325,0.28,0.301,0.098,0.149,0.063
Daulton Varsho,So,Milwaukee,C,262,0.485,68.99,32.572,1.079,0.469,0.61,0.381,0.229,0.43,0.156,0.111,0.031
Bryson Bowman,Jr,Western Caro.,OF,282,0.485,74.256,35.058,1.108,0.447,0.661,0.326,0.335,0.293,0.089,0.152,0.067
Jose Hernandez,So,Mercer,C,108,0.484,28.34,13.328,1.068,0.491,0.577,0.295,0.282,0.436,0.315,0.241,0.056
David Oppenheim,Sr,Southern California,OF,234,0.484,61.404,28.878,1.021,0.513,0.508,0.387,0.121,0.427,0.103,0.167,0.017
Dustin Frailey,Jr,CSU Bakersfield,OF,242,0.484,63.504,29.866,1.068,0.475,0.593,0.376,0.217,0.397,0.079,0.124,0.017
Samuel Hall,Sr,Dixie St.,INF,239,0.483,62.5,29.279,1.074,0.464,0.61,0.354,0.256,0.411,0.176,0.13,0.038
Brian Davis,So,Florida A&M,INF,225,0.483,58.839,27.564,1.05,0.484,0.566,0.37,0.196,0.387,0.089,0.124,0.031
Anthony Stricklin,Sr,Jackson St.,OF,119,0.483,31.119,14.578,1.078,0.454,0.624,0.323,0.301,0.366,0.16,0.143,0.034
Jordan Zimmerman,Jr,Michigan St.,INF,255,0.483,66.684,31.239,1.065,0.471,0.594,0.374,0.22,0.41,0.129,0.125,0.035
Nick Senzel,Jr,Tennessee,INF,255,0.482,66.452,31.007,1.076,0.478,0.598,0.354,0.244,0.355,0.082,0.157,0.031
Austin Athmann,Jr,Minnesota,C,219,0.482,57.071,26.63,1.067,0.452,0.615,0.374,0.241,0.413,0.155,0.064,0.05
Tim Lynch,Sr,Southern Miss.,INF,279,0.48,72.2,33.419,1.054,0.509,0.545,0.365,0.18,0.352,0.047,0.14,0.036
Chas Hadden,Fr,Belmont,C,264,0.479,68.079,31.383,1.006,0.511,0.495,0.37,0.125,0.425,0.121,0.231,0.011
Tanner Gardner,So,Texas Tech,INF,279,0.479,71.947,33.166,1.033,0.484,0.549,0.378,0.171,0.429,0.115,0.143,0.011
Jake Noll,Jr,FGCU,INF,261,0.479,67.305,31.026,1.08,0.46,0.62,0.367,0.253,0.377,0.111,0.077,0.046
Anfernee Grier,Jr,Auburn,OF,275,0.479,70.916,32.691,1.049,0.473,0.576,0.366,0.21,0.439,0.2,0.116,0.044
Weston Jackson,Sr,Presbyterian,OF,243,0.478,62.443,28.666,1.094,0.481,0.613,0.341,0.272,0.381,0.177,0.119,0.041
Spencer Johnson,Sr,Missouri St.,OF,276,0.478,70.923,32.559,1.124,0.417,0.707,0.293,0.414,0.263,0.174,0.167,0.087
Dylan Dillard,Sr,Florida A&M,INF,226,0.478,58.075,26.661,1.049,0.46,0.589,0.333,0.256,0.385,0.173,0.159,0.035
Brody Russell,Sr,Fresno St.,OF,156,0.478,40.087,18.403,1.086,0.442,0.644,0.415,0.229,0.473,0.147,0.058,0.026
Tj Friedl,So,Nevada,OF,278,0.477,71.185,32.543,1.041,0.478,0.563,0.401,0.162,0.439,0.094,0.115,0.011
Hagen Owenby,So,ETSU,C,265,0.477,67.856,31.021,1.086,0.426,0.66,0.374,0.286,0.368,0.113,0.087,0.064
Daniel Johnson,Jr,New Mexico St.,OF,274,0.477,70.16,32.074,1.075,0.445,0.63,0.382,0.248,0.394,0.106,0.066,0.044
Colton Shaver,So,BYU,C,244,0.477,62.479,28.563,1.07,0.488,0.582,0.335,0.247,0.348,0.139,0.16,0.041
Trey York,Sr,ETSU,INF,274,0.476,69.912,31.826,1.079,0.431,0.648,0.348,0.3,0.353,0.128,0.109,0.055
Adam Groesbeck,Jr,Air Force,OF,264,0.476,67.36,30.664,1.041,0.458,0.583,0.378,0.205,0.427,0.133,0.106,0.019
Charles Leblanc,So,Pittsburgh,INF,232,0.476,59.195,26.947,1.017,0.504,0.513,0.405,0.108,0.467,0.125,0.129,0.009
Colby Fitch,So,Louisville,C,133,0.475,33.815,15.328,1.047,0.451,0.596,0.339,0.257,0.368,0.135,0.15,0.038
Collin Thacker,Jr,Gardner-Webb,C,245,0.475,62.29,28.235,1.047,0.469,0.578,0.394,0.184,0.406,0.065,0.106,0.016
Christian Santisteban,Sr,Manhattan,INF,241,0.475,61.273,27.774,1.047,0.477,0.57,0.367,0.203,0.418,0.158,0.124,0.029
Ky Parrott,Jr,James Madison,OF,262,0.475,66.612,30.194,0.995,0.5,0.495,0.318,0.177,0.39,0.164,0.233,0.015
Carlos Diaz,Jr,Jackson St.,C,205,0.475,52.12,23.625,1.074,0.454,0.62,0.409,0.211,0.413,0.078,0.073,0.029
Gio Brusa,Sr,Pacific,OF,225,0.475,57.205,25.93,1.076,0.462,0.614,0.337,0.277,0.365,0.182,0.116,0.062
Reid Russell,Jr,Lamar University,INF,232,0.474,58.774,26.526,1.087,0.422,0.665,0.354,0.311,0.427,0.272,0.082,0.078
Luis Gonzalez,So,New Mexico,OF,304,0.474,77.015,34.759,1.045,0.47,0.575,0.381,0.194,0.404,0.086,0.141,0.02
Tyler Ramirez,Jr,North Carolina,OF,253,0.474,64.094,28.927,1.03,0.49,0.54,0.333,0.207,0.417,0.213,0.198,0.032
Joey Roach,Sr,Georgia St.,C,196,0.473,49.476,22.232,1.067,0.469,0.598,0.325,0.273,0.317,0.107,0.107,0.056
Conor Costello,Sr,Oklahoma St.,P,132,0.472,33.201,14.853,1.042,0.447,0.595,0.351,0.244,0.42,0.197,0.129,0.038
