name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Rylan Bannon,Jr,Xavier,INF,274,0.477,70.797,31.615,1.082,0.449,0.633,0.339,0.294,0.364,0.168,0.139,0.055
Kevin Merrell,Jr,South Fla.,INF,246,0.477,63.563,28.385,1.053,0.484,0.569,0.384,0.185,0.427,0.126,0.118,0.028
Matthew Guidry,Fr,Southern Miss.,INF,129,0.476,33.213,14.766,1.04,0.481,0.559,0.363,0.196,0.465,0.217,0.186,0.031
Jack Hranec,Sr,Murray St.,INF,178,0.474,45.503,20.049,1.11,0.393,0.717,0.349,0.368,0.341,0.163,0.045,0.09
Randall Kanemaru,Jr,Columbia,INF,167,0.473,42.539,18.658,1.068,0.443,0.625,0.395,0.23,0.445,0.174,0.066,0.042
Ernie De La Trinidad,So,UNLV,OF,242,0.473,61.643,27.037,1.034,0.475,0.559,0.361,0.198,0.402,0.132,0.087,0.029
Josh Evans,Jr,SFA,INF,169,0.473,43.048,18.881,1.082,0.444,0.638,0.383,0.255,0.373,0.089,0.101,0.059
Cutter Mcdowell,Sr,Lamar University,OF,216,0.473,55.02,24.132,1.028,0.472,0.556,0.365,0.191,0.442,0.171,0.144,0.019
Jt Thomas,Jr,Mercer,C,256,0.472,64.974,28.366,1.069,0.445,0.624,0.357,0.267,0.406,0.176,0.09,0.047
Bradley Haslam,Sr,Air Force,INF,241,0.472,61.167,26.704,1.06,0.44,0.62,0.38,0.24,0.39,0.1,0.087,0.041
Tristen Carranza,So,New Mexico St.,INF,223,0.471,56.394,24.505,1.079,0.43,0.649,0.314,0.335,0.35,0.229,0.099,0.072
Danny Wright,Fr,Southeast Mo. St.,INF,216,0.471,54.624,23.736,1.044,0.477,0.567,0.376,0.191,0.446,0.167,0.12,0.023
Dan Hetzel,Sr,New Mexico St.,OF,257,0.469,64.522,27.771,1.066,0.436,0.63,0.322,0.308,0.338,0.16,0.156,0.054
Alfonso Rivas,So,Arizona,INF,264,0.469,66.279,28.527,1.016,0.485,0.531,0.371,0.16,0.419,0.136,0.148,0.027
Parker Phillips,Fr,Austin Peay,INF,227,0.469,56.99,24.529,1.058,0.445,0.613,0.328,0.285,0.412,0.247,0.075,0.053
Blake Chisolm,Jr,Sam Houston St.,P,223,0.469,55.986,24.097,1.017,0.466,0.551,0.343,0.208,0.467,0.242,0.103,0.018
Tyler Durna,So,UC San Diego,INF,260,0.467,64.799,27.619,1.028,0.481,0.547,0.363,0.184,0.374,0.081,0.15,0.027
Luken Baker,So,TCU,INF,200,0.467,49.845,21.245,1.033,0.505,0.528,0.317,0.211,0.358,0.18,0.2,0.04
Charlie Carpenter,Jr,USC Upstate,INF,227,0.467,56.575,24.114,1.046,0.454,0.592,0.357,0.235,0.401,0.176,0.101,0.048
Michael Donadio,Sr,St. John's (NY),OF,262,0.467,65.298,27.832,1.016,0.469,0.547,0.374,0.173,0.444,0.16,0.145,0.015
Gavin Sheets,Jr,Wake Forest,INF,291,0.466,72.259,30.646,1.072,0.443,0.629,0.317,0.312,0.293,0.127,0.158,0.072
Deon  Jr. Stafford,Jr,Saint Joseph's,C,191,0.465,47.253,19.94,1.008,0.487,0.521,0.288,0.233,0.309,0.147,0.22,0.042
Taylor Braley,Jr,Southern Miss.,INF,310,0.465,76.693,32.363,1.048,0.461,0.587,0.313,0.274,0.322,0.161,0.203,0.055
Johnny Aiello,So,Wake Forest,INF,283,0.465,70.013,29.544,1.063,0.42,0.643,0.328,0.315,0.403,0.269,0.088,0.071
Mickey Gasper,Jr,Bryant,C,245,0.465,60.612,25.577,1.014,0.486,0.528,0.342,0.186,0.343,0.073,0.171,0.029
Mcclain Bradley,Jr,Wofford,OF,197,0.465,48.737,20.566,1.048,0.442,0.606,0.365,0.241,0.415,0.178,0.107,0.041
Billy Cooke,Jr,Coastal Carolina,OF,270,0.465,66.797,28.187,1.054,0.467,0.587,0.353,0.234,0.365,0.111,0.141,0.037
Jackson Overlund,Jr,Utah Valley,OF,225,0.464,55.458,23.283,1.029,0.449,0.58,0.342,0.238,0.432,0.218,0.12,0.027
Greg Deichmann,Jr,LSU,OF,309,0.464,76.162,31.975,1.064,0.485,0.579,0.308,0.271,0.332,0.201,0.165,0.061
Ryan Brennan,Sr,Fairleigh Dickinson,OF,207,0.464,51.021,21.42,1.034,0.454,0.58,0.37,0.21,0.4,0.13,0.097,0.034
Tristan Pompey,So,Kentucky,OF,319,0.463,78.335,32.718,1.008,0.467,0.541,0.361,0.18,0.428,0.176,0.144,0.031
Tyler Zabojnik,Jr,Air Force,INF,261,0.463,64.092,26.769,1.028,0.433,0.595,0.366,0.229,0.435,0.184,0.088,0.031
Alex Holderbach,So,Eastern Ky.,OF,217,0.462,53.089,22.058,1.047,0.429,0.618,0.355,0.263,0.367,0.124,0.111,0.051
James Free Ii,Fr,Pacific,C,204,0.462,49.908,20.736,1.059,0.407,0.652,0.343,0.309,0.364,0.181,0.074,0.069
Ryan Jeffers,So,UNCW,C,223,0.462,54.557,22.668,1.039,0.435,0.604,0.328,0.276,0.342,0.126,0.126,0.045
Dylan Rosa,Jr,Kent St.,INF,216,0.462,52.844,21.956,1.064,0.426,0.638,0.314,0.324,0.37,0.255,0.111,0.065
Nick Patten,So,Delaware,INF,260,0.461,63.37,26.19,1.026,0.446,0.58,0.312,0.268,0.355,0.204,0.162,0.054
Cody Den Beste,Sr,Prairie View,OF,244,0.461,59.471,24.579,1.016,0.455,0.561,0.364,0.197,0.404,0.123,0.053,0.016
Ryan Cleveland,Sr,Ga. Southern,INF,266,0.461,64.833,26.795,1.042,0.489,0.553,0.274,0.279,0.333,0.271,0.195,0.06
Brandon Gutzler,Jr,Murray St.,OF,281,0.461,68.489,28.306,1.054,0.431,0.623,0.351,0.272,0.38,0.181,0.114,0.057
Tyler Niemann,Jr,Morehead St.,INF,194,0.461,47.284,19.542,1.024,0.448,0.576,0.318,0.258,0.358,0.175,0.124,0.046
Dre Gleason,Sr,Austin Peay,INF,250,0.46,60.704,24.954,1.028,0.456,0.572,0.332,0.24,0.37,0.18,0.152,0.048
Gaudencio Lucca,Sr,Texas Southern,INF,226,0.46,54.877,22.559,1.005,0.456,0.549,0.314,0.235,0.368,0.164,0.168,0.027
Ayrton Schafer,Fr,Samford,OF,167,0.46,40.55,16.669,1.053,0.419,0.634,0.331,0.303,0.425,0.293,0.09,0.066
Bryce Brown,Jr,Jackson St.,OF,222,0.46,53.905,22.159,0.954,0.505,0.449,0.377,0.072,0.47,0.162,0.162,0.005
Tim Graul,Sr,Penn,C,198,0.46,48.078,19.764,1.029,0.429,0.6,0.371,0.229,0.413,0.141,0.066,0.03
David Fry,Jr,Northwestern St.,INF,240,0.459,58.056,23.736,1.033,0.442,0.591,0.34,0.251,0.393,0.196,0.1,0.042
Austin Call,Sr,Tarleton St.,INF,185,0.459,44.752,18.297,1.019,0.438,0.581,0.342,0.239,0.387,0.162,0.119,0.038
Jared Young,Jr,Old Dominion,INF,265,0.458,63.861,25.966,1.022,0.442,0.58,0.367,0.213,0.373,0.072,0.057,0.026
Matt Gallier,Sr,McNeese,OF,258,0.458,62.174,25.28,1.007,0.461,0.546,0.319,0.227,0.391,0.225,0.178,0.047
Jake Hasbrouck,Jr,Tarleton St.,DH,187,0.458,45.064,18.323,1.008,0.471,0.537,0.309,0.228,0.422,0.283,0.16,0.043
Gary Mattis,Fr,Fla. Atlantic,OF,107,0.458,25.785,10.484,1.017,0.439,0.578,0.344,0.234,0.394,0.178,0.084,0.047
Bronson Larsen,Sr,BYU,C,250,0.457,60.017,24.267,1.049,0.428,0.621,0.33,0.291,0.342,0.172,0.14,0.064
Hagen Owenby,Jr,ETSU,C,279,0.457,66.979,27.082,1.021,0.448,0.573,0.346,0.227,0.337,0.086,0.143,0.047
Adam Sisk,Jr,James Madison,OF,235,0.457,56.416,22.811,1.007,0.447,0.56,0.337,0.223,0.386,0.183,0.136,0.047
Trevor Putzig,Jr,Tennessee Tech,INF,263,0.457,63.138,25.529,1.009,0.441,0.568,0.394,0.174,0.41,0.084,0.084,0.023
Mark Contreras,Sr,UC Riverside,INF,189,0.457,45.373,18.346,1.013,0.455,0.558,0.366,0.192,0.433,0.159,0.09,0.011
Ryan Grotjohn,Sr,CSU Bakersfield,INF,244,0.456,58.354,23.462,0.983,0.471,0.512,0.39,0.122,0.421,0.082,0.094,0.004
Justin Yurchak,So,Binghamton,INF,186,0.456,44.483,17.885,0.964,0.522,0.442,0.32,0.122,0.331,0.065,0.22,0.016
Daniel Jipping,Jr,Central Mich.,INF,249,0.456,59.549,23.942,1.038,0.478,0.56,0.309,0.251,0.353,0.209,0.165,0.044
Chris Osborne,Sr,Southeast Mo. St.,OF,262,0.456,62.658,25.192,1.016,0.431,0.585,0.354,0.231,0.404,0.164,0.084,0.034
Casey Golden,Sr,UNCW,OF,262,0.456,62.658,25.192,1.047,0.401,0.646,0.31,0.336,0.371,0.279,0.095,0.08
Brent Diaz,Jr,Louisiana Tech,C,263,0.456,62.897,25.288,1.022,0.441,0.581,0.332,0.249,0.368,0.156,0.084,0.034
Nazier Mcilwain,So,Coppin St.,INF,176,0.456,42.091,16.923,0.982,0.472,0.51,0.377,0.133,0.466,0.188,0.142,0.017
Matt Pita,So,VMI,INF,170,0.455,40.5,16.19,1.012,0.429,0.583,0.364,0.219,0.41,0.165,0.082,0.041
Hunter Dolshun,Sr,UMBC,C,169,0.455,40.262,16.095,1.037,0.438,0.599,0.336,0.263,0.344,0.136,0.071,0.053
Michael Anatasia,So,NJIT,OF,175,0.455,41.692,16.667,0.981,0.474,0.507,0.373,0.134,0.5,0.217,0.137,0.0
Logan Farrar,Sr,VCU,OF,269,0.455,64.086,25.619,1.0,0.457,0.543,0.365,0.178,0.378,0.086,0.1,0.03
Brendan Donovan,So,South Alabama,INF,261,0.455,62.18,24.857,1.008,0.444,0.564,0.336,0.228,0.344,0.096,0.161,0.034
Troy Dixon,Sr,St. John's (NY),C,188,0.455,44.789,17.905,0.993,0.468,0.525,0.394,0.131,0.448,0.122,0.122,0.016
Tanner Allison,Jr,Western Mich.,P,249,0.455,59.321,23.714,1.024,0.45,0.574,0.356,0.218,0.38,0.124,0.1,0.036
Dan Shea,Sr,Monmouth,OF,176,0.455,41.93,16.762,1.013,0.449,0.564,0.293,0.271,0.333,0.188,0.176,0.04
Raphael Gladu,Sr,Louisiana Tech,INF,267,0.455,63.61,25.429,1.021,0.442,0.579,0.378,0.201,0.396,0.097,0.09,0.03
Cameron Whitehead,Sr,Furman,C,201,0.454,47.702,18.959,1.042,0.413,0.629,0.312,0.317,0.348,0.219,0.144,0.065
Devlin Granberg,Jr,DBU,OF,212,0.454,50.312,19.996,1.003,0.439,0.564,0.359,0.205,0.414,0.175,0.085,0.033
Cody Farhat,So,Texas Tech,OF,162,0.454,38.446,15.28,1.001,0.432,0.569,0.343,0.226,0.389,0.13,0.099,0.019
Andrew Vaughn,Fr,California,INF,235,0.454,55.771,22.166,1.023,0.468,0.555,0.349,0.206,0.35,0.102,0.081,0.051
Dougie Parks,Jr,Eastern Ill.,INF,257,0.454,60.992,24.241,1.029,0.416,0.613,0.3,0.313,0.331,0.222,0.128,0.07
Will Robertson,Sr,Davidson,OF,290,0.453,68.558,27.088,1.035,0.403,0.632,0.333,0.299,0.324,0.114,0.069,0.062
Pat Mcinerney,Sr,Illinois,OF,230,0.453,54.374,21.484,1.028,0.435,0.593,0.309,0.284,0.319,0.174,0.143,0.065
Matt Johnson,Sr,South Dakota St.,INF,226,0.453,53.428,21.11,1.023,0.434,0.589,0.325,0.264,0.361,0.186,0.137,0.053
Dylan Lemons,Jr,Tarleton St.,INF,194,0.453,45.863,18.121,1.025,0.428,0.597,0.327,0.27,0.331,0.149,0.129,0.062
Ross Haffey,Jr,Miami (OH),INF,254,0.453,60.047,23.725,1.014,0.433,0.581,0.338,0.243,0.44,0.272,0.114,0.051
Mike Corin,Sr,Rhode Island,INF,223,0.452,52.514,20.625,1.05,0.404,0.646,0.302,0.344,0.325,0.251,0.112,0.085
Ryder Miconi,Sr,William & Mary,INF,226,0.452,53.221,20.903,0.996,0.465,0.531,0.318,0.213,0.317,0.084,0.15,0.04
Justin Jones,Sr,UNLV,INF,230,0.452,54.163,21.273,1.017,0.426,0.591,0.36,0.231,0.395,0.148,0.1,0.039
Ben Wanger,So,Yale,P,147,0.452,34.617,13.596,1.025,0.415,0.61,0.317,0.293,0.344,0.184,0.122,0.054
Reed Rohlman,Jr,Clemson,OF,271,0.451,63.57,24.817,0.992,0.45,0.542,0.361,0.181,0.396,0.122,0.096,0.022
Danny Sullivan,Sr,Gardner-Webb,INF,242,0.451,56.767,22.161,1.036,0.413,0.623,0.317,0.306,0.311,0.157,0.128,0.07
John Pope,Jr,Southern U.,INF,188,0.451,44.1,17.216,1.005,0.447,0.558,0.339,0.219,0.369,0.149,0.117,0.043
Jose Garcia,Sr,UTRGV,C,235,0.451,55.125,21.52,0.991,0.472,0.519,0.317,0.202,0.329,0.106,0.179,0.03
Brandon Smith,So,Dayton,OF,196,0.451,45.977,17.949,1.005,0.429,0.576,0.291,0.285,0.405,0.316,0.163,0.061
Logan Mcrae,Jr,Col. of Charleston,INF,257,0.451,60.286,23.535,1.03,0.428,0.602,0.31,0.292,0.318,0.179,0.14,0.066
Theodore Hoffman,Jr,Texas St.,OF,276,0.451,64.743,25.275,1.02,0.406,0.614,0.349,0.265,0.423,0.243,0.065,0.058
Omar Salinas,Jr,UT Arlington,DH,237,0.451,55.594,21.703,0.998,0.439,0.559,0.333,0.226,0.346,0.131,0.139,0.046
Austin Bush,Jr,UC Santa Barbara,INF,234,0.45,54.676,21.214,1.056,0.402,0.654,0.303,0.351,0.326,0.252,0.085,0.085
Jared Mang,So,New Mexico,INF,271,0.45,63.322,24.569,1.001,0.428,0.573,0.373,0.2,0.393,0.1,0.074,0.033
Tyler Frank,So,Fla. Atlantic,INF,289,0.45,67.528,26.201,0.986,0.446,0.54,0.336,0.204,0.343,0.1,0.142,0.038
Corey Julks,Jr,Houston,INF,255,0.45,59.583,23.118,1.003,0.431,0.572,0.335,0.237,0.36,0.137,0.137,0.035
Brewer Hicklen,So,UAB,C,223,0.45,52.106,20.217,1.012,0.426,0.586,0.328,0.258,0.408,0.233,0.112,0.036
Marty Costes,So,Maryland,OF,283,0.45,66.126,25.657,0.997,0.449,0.548,0.322,0.226,0.354,0.166,0.12,0.046
Russell Crippen,Sr,Abilene Christian,INF,248,0.45,57.948,22.484,1.016,0.431,0.585,0.346,0.239,0.385,0.173,0.077,0.04
Joe Hoscheit,Sr,Northwestern,OF,234,0.45,54.676,21.214,1.006,0.449,0.557,0.356,0.201,0.373,0.124,0.115,0.03
Chad Spanberger,Jr,Arkansas,C,270,0.449,62.841,24.231,1.038,0.419,0.619,0.305,0.314,0.34,0.241,0.096,0.074
Russell Williams,Sr,Air Force,INF,204,0.448,47.293,18.121,1.018,0.426,0.592,0.362,0.23,0.43,0.201,0.083,0.039
Joe Schrimpf,Sr,Arkansas St.,INF,238,0.448,55.175,21.141,0.986,0.458,0.528,0.343,0.185,0.364,0.105,0.143,0.025
Ryan Kemp,Jr,Middle Tenn.,INF,185,0.448,42.888,16.433,1.027,0.405,0.622,0.366,0.256,0.382,0.108,0.076,0.043
Cole Hallum,Sr,Campbell,OF,241,0.448,55.871,21.408,0.991,0.448,0.543,0.283,0.26,0.307,0.174,0.133,0.041
Ricky Ramirez,Sr,McNeese,P,265,0.448,61.434,23.539,0.966,0.468,0.498,0.345,0.153,0.399,0.147,0.162,0.004
Chris Hess,Jr,Rhode Island,INF,249,0.447,57.497,21.89,0.999,0.418,0.581,0.347,0.234,0.394,0.161,0.064,0.032
Jack Yalowitz,So,Illinois,OF,228,0.447,52.648,20.044,1.015,0.425,0.59,0.335,0.255,0.342,0.132,0.101,0.053
Bryant Bowen,Fr,Southern Miss.,C,109,0.447,25.169,9.582,0.99,0.422,0.568,0.337,0.231,0.351,0.119,0.119,0.046
Taylor Allum,Jr,Kennesaw St.,OF,235,0.447,54.264,20.659,1.02,0.43,0.59,0.319,0.271,0.344,0.187,0.157,0.064
Andrew Turner,Jr,LIU,INF,196,0.446,45.079,17.051,0.984,0.439,0.545,0.339,0.206,0.376,0.148,0.087,0.031
Allen Smoot,Sr,San Francisco,INF,252,0.446,57.959,21.923,0.939,0.48,0.459,0.364,0.095,0.425,0.135,0.155,0.008
Pavin Smith,Jr,Virginia,INF,273,0.446,62.789,23.75,1.002,0.432,0.57,0.342,0.228,0.31,0.044,0.139,0.048
Caleb Knight,Jr,Virginia,C,157,0.446,36.109,13.658,0.94,0.471,0.469,0.301,0.168,0.361,0.185,0.172,0.025
Jordan Glover,Sr,Delaware,OF,220,0.446,50.599,19.139,1.007,0.432,0.575,0.339,0.236,0.361,0.145,0.109,0.045
Steven Sensley,Jr,Louisiana,INF,229,0.446,52.669,19.922,1.0,0.424,0.576,0.314,0.262,0.343,0.175,0.109,0.048
Garrett Benge,Jr,Oklahoma St.,INF,269,0.445,61.623,23.156,0.975,0.442,0.533,0.304,0.229,0.327,0.145,0.182,0.037
Cameron Simmons,So,Virginia,OF,247,0.445,56.583,21.262,0.988,0.425,0.563,0.352,0.211,0.402,0.162,0.093,0.036
Jonah Todd,Jr,Auburn,OF,284,0.445,65.059,24.447,0.953,0.482,0.471,0.376,0.095,0.417,0.099,0.13,0.0
Hezekiah Randolph,Sr,New Orleans,OF,220,0.445,50.398,18.938,1.002,0.418,0.584,0.303,0.281,0.331,0.191,0.136,0.059
Jacen Nalesnik,Sr,Lehigh,OF,218,0.445,49.94,18.766,1.014,0.408,0.606,0.321,0.285,0.327,0.142,0.106,0.06
Blake Adams,Jr,Tarleton St.,OF,200,0.444,45.633,17.033,1.005,0.415,0.59,0.331,0.259,0.341,0.13,0.06,0.05
David Miranda,Jr,Fla. Atlantic,OF,242,0.444,55.216,20.61,0.999,0.409,0.59,0.319,0.271,0.359,0.194,0.099,0.05
Rob Calabrese,Jr,UIC,C,243,0.444,55.444,20.695,1.003,0.42,0.583,0.353,0.23,0.364,0.107,0.082,0.033
Griffin Conine,So,Duke,OF,266,0.444,60.692,22.654,0.982,0.436,0.546,0.298,0.248,0.323,0.169,0.154,0.049
Ryan Krainz,Jr,Cornell,INF,162,0.444,36.963,13.797,0.929,0.475,0.454,0.369,0.085,0.414,0.099,0.173,0.0
Joe Drpich,Jr,Siena,INF,207,0.444,47.23,17.629,1.002,0.425,0.577,0.346,0.231,0.371,0.159,0.077,0.048
Daniel Barnett,Sr,Grambling,INF,232,0.444,52.934,19.758,0.975,0.478,0.497,0.319,0.178,0.314,0.073,0.164,0.026
Shaine Hughes,Sr,Monmouth,INF,212,0.444,48.371,18.055,0.967,0.448,0.519,0.359,0.16,0.38,0.099,0.094,0.024
