name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Erik Ostberg,Jr,Hartford,C,103,0.665,44.346,29.617,1.549,0.689,0.86,0.5,0.36,0.521,0.097,0.214,0.058
Keston Hiura,Jr,UC Irvine,INF,249,0.592,90.56,54.953,1.336,0.643,0.693,0.442,0.251,0.516,0.153,0.201,0.032
Brent Rooker,Jr,Mississippi St.,OF,293,0.585,104.685,62.786,1.387,0.577,0.81,0.387,0.423,0.427,0.198,0.164,0.078
Daulton Varsho,Jr,Milwaukee,C,240,0.527,73.001,38.681,1.189,0.546,0.643,0.362,0.281,0.409,0.162,0.192,0.046
Ben Fisher,Sr,Eastern Ky.,INF,267,0.52,79.502,41.321,1.223,0.461,0.762,0.363,0.399,0.335,0.131,0.142,0.094
Niko Hulsizer,So,Morehead St.,OF,290,0.517,85.554,44.084,1.22,0.445,0.775,0.349,0.426,0.397,0.255,0.093,0.093
Tyler Jones,Sr,Air Force,OF,208,0.517,61.363,31.619,1.192,0.486,0.706,0.359,0.347,0.392,0.183,0.139,0.067
Ryan Flick,Jr,Tennessee Tech,INF,271,0.515,79.453,40.7,1.188,0.461,0.727,0.377,0.35,0.447,0.229,0.137,0.07
Seth Beer,So,Clemson,OF,282,0.515,82.678,42.352,1.173,0.567,0.606,0.298,0.308,0.288,0.124,0.227,0.057
Jack Larsen,Sr,UC San Diego,OF,296,0.515,86.782,44.454,1.175,0.507,0.668,0.362,0.306,0.407,0.169,0.189,0.051
Tommy Bell,Sr,California Baptist,OF,135,0.515,39.58,20.275,1.156,0.481,0.675,0.425,0.25,0.437,0.089,0.067,0.044
Zac Wiley,Jr,Bellarmine,INF,182,0.513,53.026,27.0,1.162,0.495,0.667,0.397,0.27,0.411,0.11,0.121,0.049
Brock Hale,So,BYU,OF,230,0.513,67.011,34.121,1.159,0.487,0.672,0.395,0.277,0.422,0.135,0.117,0.052
Nick Egli,Sr,Belmont,C,251,0.511,72.67,36.777,1.185,0.47,0.715,0.353,0.362,0.404,0.223,0.143,0.072
Austin Listi,Sr,DBU,OF,294,0.511,85.119,43.077,1.194,0.459,0.735,0.336,0.399,0.359,0.207,0.153,0.082
Patrick Robinson,So,Harvard,OF,140,0.51,40.405,20.385,1.174,0.436,0.738,0.373,0.365,0.4,0.157,0.071,0.064
Adam Haseley,Jr,Virginia,OF,270,0.51,77.923,39.313,1.148,0.489,0.659,0.39,0.269,0.386,0.078,0.163,0.052
D.J. Artis,So,Liberty,OF,250,0.51,72.151,36.401,1.096,0.544,0.552,0.359,0.193,0.401,0.12,0.248,0.024
Brady Pfaadt,Jr,Bellarmine,C,121,0.506,34.478,17.175,1.144,0.496,0.648,0.352,0.296,0.407,0.198,0.182,0.066
Jack Zoellner,Sr,New Mexico,INF,233,0.506,66.391,33.072,1.152,0.489,0.663,0.368,0.295,0.373,0.112,0.159,0.052
Brock Weimer,So,SIUE,C,191,0.505,54.249,26.936,1.161,0.476,0.685,0.329,0.356,0.378,0.236,0.147,0.079
Dan Holst,Sr,Southeast Mo. St.,OF,268,0.504,75.873,37.549,1.108,0.507,0.601,0.375,0.226,0.425,0.146,0.183,0.037
Will Schneider,Sr,Morehead St.,OF,284,0.503,80.143,39.531,1.118,0.496,0.622,0.391,0.231,0.429,0.134,0.127,0.039
Matt Wallner,Fr,Southern Miss.,OF,288,0.503,81.272,40.088,1.152,0.497,0.655,0.336,0.319,0.357,0.174,0.156,0.066
Logan Porter,Jr,Dixie St.,C,233,0.502,65.538,32.219,1.14,0.506,0.634,0.376,0.258,0.397,0.129,0.142,0.043
Brendan Mckay,Jr,Louisville,P,269,0.502,75.664,37.197,1.153,0.494,0.659,0.341,0.318,0.343,0.145,0.167,0.067
Jake Adams,Jr,Iowa,INF,279,0.501,78.221,38.324,1.184,0.437,0.747,0.335,0.412,0.329,0.204,0.104,0.104
Jake Burger,Jr,Missouri St.,INF,292,0.498,81.064,39.308,1.155,0.507,0.648,0.328,0.32,0.309,0.13,0.147,0.075
Taylor Schwaner,Jr,Southeastern La.,INF,262,0.495,72.015,34.549,1.137,0.469,0.668,0.332,0.336,0.378,0.214,0.164,0.061
Luis Gonzalez,Jr,New Mexico,OF,287,0.495,78.887,37.846,1.098,0.509,0.589,0.361,0.228,0.39,0.111,0.202,0.028
Eli Boggess,Jr,Morehead St.,INF,236,0.495,64.869,31.121,1.086,0.487,0.599,0.425,0.174,0.431,0.059,0.081,0.03
Adam Groesbeck,Sr,Air Force,OF,248,0.494,67.94,32.476,1.109,0.46,0.649,0.41,0.239,0.446,0.125,0.069,0.032
Drew Ellis,Jr,Louisville,INF,281,0.492,76.466,36.283,1.16,0.459,0.701,0.355,0.346,0.352,0.142,0.142,0.071
Ellington Hopkins,Sr,N.C. Central,INF,114,0.491,30.917,14.615,1.017,0.553,0.464,0.381,0.083,0.385,0.035,0.184,0.018
Ashton Bardzell,So,Hartford,OF,219,0.49,59.193,27.876,1.103,0.484,0.619,0.343,0.276,0.373,0.146,0.174,0.041
Patrick Mccoll,So,Harvard,INF,147,0.489,39.598,18.577,1.09,0.469,0.621,0.355,0.266,0.413,0.177,0.122,0.041
Evan White,Jr,Kentucky,INF,246,0.488,66.041,30.863,1.1,0.463,0.637,0.373,0.264,0.399,0.126,0.102,0.041
Carl Stajduhar,Jr,New Mexico,INF,286,0.488,76.779,35.881,1.108,0.458,0.65,0.35,0.3,0.375,0.164,0.119,0.059
Chris Sharpe,So,UMass Lowell,OF,154,0.488,41.343,19.321,1.119,0.442,0.677,0.338,0.339,0.378,0.175,0.104,0.045
Aaron Aucker,Jr,Middle Tenn.,INF,180,0.487,48.158,22.418,1.097,0.456,0.641,0.359,0.282,0.411,0.189,0.128,0.056
Nick Rivera,Sr,FGCU,INF,282,0.487,75.447,35.121,1.11,0.5,0.61,0.303,0.307,0.325,0.209,0.209,0.071
Zach Sterry,Sr,Oakland,INF,218,0.486,58.125,26.951,1.115,0.472,0.643,0.346,0.297,0.357,0.147,0.138,0.06
Bryson Bowman,Sr,Western Caro.,OF,269,0.486,71.722,33.255,1.095,0.476,0.619,0.381,0.238,0.391,0.115,0.138,0.041
Jake Scheiner,Jr,Houston,INF,282,0.485,74.93,34.604,1.114,0.447,0.667,0.346,0.321,0.353,0.145,0.096,0.064
Tyler Tharp,Sr,VMI,INF,260,0.484,68.847,31.667,1.101,0.454,0.647,0.348,0.299,0.404,0.212,0.127,0.062
Jj Matijevic,Jr,Arizona,INF,268,0.484,70.965,32.641,1.107,0.474,0.633,0.383,0.25,0.412,0.142,0.086,0.037
Aaron Arruda,Jr,Fresno St.,INF,281,0.484,74.407,34.224,1.095,0.452,0.643,0.373,0.27,0.442,0.21,0.11,0.053
Dallas Carroll,Sr,Utah,INF,239,0.484,63.286,29.109,1.081,0.49,0.591,0.369,0.222,0.373,0.079,0.146,0.029
Travis Swaggerty,So,South Alabama,OF,278,0.483,73.358,33.604,1.067,0.496,0.571,0.356,0.215,0.404,0.162,0.176,0.04
Adam Mcginnis,Sr,Western Ill.,C,201,0.482,52.856,24.113,1.059,0.493,0.566,0.355,0.211,0.358,0.065,0.139,0.03
Sam Finfer,Sr,Marshall,C,226,0.482,59.43,27.112,1.121,0.429,0.692,0.338,0.354,0.362,0.208,0.097,0.08
Tyler Adkison,Jr,San Diego St.,OF,243,0.481,63.678,28.929,1.105,0.457,0.648,0.337,0.311,0.347,0.165,0.16,0.062
Chris Carrier,Sr,Memphis,OF,248,0.48,64.761,29.297,1.101,0.46,0.641,0.33,0.311,0.34,0.161,0.121,0.065
Trey Ganns,Jr,Northern Ky.,INF,265,0.48,69.2,31.305,1.082,0.449,0.633,0.348,0.285,0.42,0.223,0.147,0.053
Will Toffey,Jr,Vanderbilt,INF,261,0.48,68.155,30.832,1.077,0.475,0.602,0.354,0.248,0.365,0.115,0.184,0.046
Toby Handley,Sr,Stony Brook,OF,246,0.479,64.013,28.835,1.067,0.48,0.587,0.342,0.245,0.38,0.126,0.183,0.02
Edward Modica,So,LIU,C,106,0.479,27.583,12.425,1.101,0.434,0.667,0.333,0.334,0.371,0.198,0.132,0.057
Jeremy Eierman,So,Missouri St.,INF,299,0.479,77.805,35.048,1.113,0.438,0.675,0.313,0.362,0.327,0.204,0.137,0.077
Garrett Mccain,Jr,Oklahoma St.,OF,276,0.478,71.567,32.099,1.035,0.486,0.549,0.388,0.161,0.439,0.12,0.105,0.014
Dale Wickham,Jr,Cornell,OF,109,0.478,28.264,12.677,1.026,0.495,0.531,0.406,0.125,0.47,0.119,0.092,0.0
Stuart Fairchild,Jr,Wake Forest,OF,302,0.477,78.032,34.846,1.083,0.447,0.636,0.36,0.276,0.399,0.179,0.103,0.056
Kyle Hubbuch,Jr,North Ala.,INF,223,0.477,57.62,25.731,1.087,0.466,0.621,0.333,0.288,0.377,0.202,0.126,0.058
