name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Brendan Bisset,Sr,Manhattan,OF,232,0.343,30.338,-2.374,0.706,0.358,0.348,0.284,0.064,0.32,0.112,0.091,0.0
Ward Coleman,So,Davidson,INF,230,0.343,30.077,-2.353,0.707,0.357,0.35,0.26,0.09,0.312,0.183,0.091,0.013
Luke Leonard,Jr,Georgia St.,OF,224,0.343,29.292,-2.292,0.725,0.353,0.372,0.282,0.09,0.347,0.205,0.098,0.013
Michael Woodworth,Jr,UConn,INF,240,0.342,31.161,-2.679,0.741,0.346,0.395,0.302,0.093,0.324,0.1,0.054,0.017
Gus Steiger,Fr,South Dakota St.,INF,206,0.342,26.746,-2.3,0.744,0.34,0.404,0.311,0.093,0.367,0.17,0.039,0.01
Connor Wanhanen,Sr,TCU,OF,225,0.342,29.213,-2.512,0.68,0.36,0.32,0.227,0.093,0.331,0.28,0.138,0.009
Steven Foster,Sr,Hofstra,OF,208,0.342,27.006,-2.322,0.688,0.361,0.327,0.216,0.111,0.257,0.163,0.178,0.01
Cage Cox,So,Alabama St.,OF,210,0.342,27.266,-2.344,0.708,0.362,0.346,0.275,0.071,0.318,0.129,0.11,0.0
Greg Lewandoski,Fr,Kent St.,INF,182,0.342,23.63,-2.032,0.706,0.352,0.354,0.272,0.082,0.344,0.192,0.077,0.005
Brock Hammit,Sr,SIUE,OF,148,0.342,19.216,-1.652,0.737,0.318,0.419,0.217,0.202,0.256,0.25,0.108,0.041
Cole Haring,Jr,Baylor,OF,242,0.342,31.421,-2.701,0.749,0.318,0.431,0.255,0.176,0.324,0.256,0.07,0.029
Jake Dunham,So,Northern Ill.,C,238,0.342,30.901,-2.657,0.689,0.366,0.323,0.268,0.055,0.308,0.139,0.105,0.004
Brian Hsu,Jr,BYU,INF,155,0.342,20.125,-1.73,0.756,0.329,0.427,0.287,0.14,0.298,0.116,0.045,0.026
Jordan Jackson,Jr,Oakland,INF,127,0.342,16.489,-1.418,0.679,0.362,0.317,0.231,0.086,0.373,0.346,0.165,0.016
Jeff Palczewski,So,St. Bonaventure,INF,144,0.342,18.697,-1.607,0.703,0.354,0.349,0.278,0.071,0.389,0.257,0.104,0.0
Ryan Clinch,Sr,UNC Greensboro,OF,159,0.342,20.644,-1.775,0.734,0.333,0.401,0.275,0.126,0.354,0.258,0.063,0.025
Alex Henwood,Jr,Nebraska,INF,100,0.342,12.984,-1.116,0.677,0.36,0.317,0.232,0.085,0.305,0.23,0.11,0.01
Zach Spivey,Jr,Bethune-Cookman,OF,231,0.342,29.992,-2.579,0.722,0.346,0.376,0.282,0.094,0.318,0.139,0.087,0.013
Tate Soderstrom,Fr,Arizona,OF,104,0.342,13.503,-1.161,0.711,0.337,0.374,0.242,0.132,0.319,0.212,0.106,0.0
Danny Wright,So,Southeast Mo. St.,OF,232,0.342,30.122,-2.59,0.692,0.362,0.33,0.258,0.072,0.296,0.142,0.108,0.013
Cj Schaeffer,Jr,Western Ill.,C,175,0.342,22.722,-1.953,0.726,0.343,0.383,0.275,0.108,0.322,0.171,0.063,0.011
