name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Andrew Vaughn,So,California,INF,243,0.612,92.583,58.32,1.432,0.613,0.819,0.402,0.417,0.358,0.074,0.181,0.095
Bren Spillane,Jr,Illinois,INF,214,0.596,78.349,48.175,1.436,0.533,0.903,0.389,0.514,0.459,0.266,0.168,0.107
Blake Adams,Sr,Tarleton St.,OF,249,0.568,84.677,49.568,1.315,0.534,0.781,0.39,0.391,0.389,0.12,0.137,0.068
Greg Cullen,Jr,Niagara,INF,218,0.566,73.73,42.992,1.247,0.592,0.655,0.458,0.197,0.5,0.101,0.174,0.018
Luke Reynolds,Jr,Southern Miss.,INF,296,0.56,98.458,56.722,1.25,0.551,0.699,0.389,0.31,0.46,0.176,0.22,0.051
Devlin Granberg,Sr,DBU,OF,312,0.555,102.329,58.337,1.231,0.551,0.68,0.443,0.237,0.493,0.135,0.167,0.042
Jonathan India,Jr,Florida,INF,295,0.538,92.088,50.493,1.239,0.522,0.717,0.35,0.367,0.379,0.19,0.203,0.071
Brandon Michie,Jr,Mercer,INF,163,0.533,50.124,27.141,1.191,0.509,0.682,0.388,0.294,0.457,0.184,0.172,0.049
Andrew Bash,So,California Baptist,P,219,0.528,66.326,35.447,1.225,0.493,0.732,0.399,0.333,0.431,0.178,0.114,0.064
Chase Chambers,Sr,Tennessee Tech,INF,310,0.525,93.022,49.312,1.171,0.519,0.652,0.395,0.257,0.387,0.077,0.158,0.055
Matt Pita,Jr,VMI,INF,257,0.518,75.444,39.207,1.18,0.459,0.721,0.389,0.332,0.404,0.117,0.089,0.054
Adley Rutschman,So,Oregon St.,C,306,0.516,89.259,46.113,1.141,0.513,0.628,0.408,0.22,0.454,0.131,0.173,0.029
Kyle Macdonald,Jr,Arkansas St.,INF,230,0.515,66.877,34.447,1.174,0.509,0.665,0.346,0.319,0.386,0.2,0.17,0.065
Josh Jung,So,Texas Tech,INF,315,0.513,91.006,46.591,1.134,0.495,0.639,0.392,0.247,0.414,0.102,0.124,0.038
Zander Clarke,Jr,UC San Diego,OF,258,0.513,74.538,38.16,1.167,0.477,0.69,0.385,0.305,0.413,0.167,0.089,0.07
Zach Rheams,Sr,Texas Tech,INF,206,0.511,59.132,30.086,1.174,0.461,0.713,0.341,0.372,0.392,0.238,0.17,0.083
Kameron Misner,So,Missouri,INF,155,0.51,44.348,22.493,1.118,0.542,0.576,0.36,0.216,0.432,0.168,0.206,0.026
Spencer Torkelson,Fr,Arizona St.,INF,254,0.509,72.437,36.623,1.2,0.457,0.743,0.32,0.423,0.291,0.173,0.15,0.098
Bryant Packard,So,East Carolina,OF,246,0.508,69.927,35.241,1.151,0.48,0.671,0.406,0.265,0.46,0.187,0.081,0.057
Kody Clemens,Jr,Texas,INF,292,0.507,82.731,41.559,1.185,0.459,0.726,0.351,0.375,0.358,0.171,0.14,0.082
Rafael Ramirez,Jr,Grambling,INF,205,0.507,58.082,29.177,1.189,0.454,0.735,0.353,0.382,0.376,0.21,0.117,0.078
Scott Schreiber,Sr,Nebraska,OF,245,0.505,68.959,34.414,1.161,0.469,0.692,0.369,0.323,0.404,0.196,0.114,0.073
Joey Bart,Jr,Georgia Tech,C,266,0.505,74.87,37.364,1.136,0.504,0.632,0.359,0.273,0.417,0.211,0.154,0.06
Grant Wood,Fr,Murray St.,INF,245,0.504,68.731,34.186,1.072,0.518,0.554,0.376,0.178,0.458,0.163,0.204,0.02
Andrew Moritz,Jr,UNC Greensboro,OF,253,0.503,70.74,35.067,1.123,0.486,0.637,0.428,0.209,0.462,0.107,0.111,0.024
Kyle Gray,Jr,West Virginia,INF,237,0.503,66.266,32.849,1.15,0.473,0.677,0.374,0.303,0.408,0.173,0.143,0.059
Chase Strumpf,So,UCLA,INF,278,0.502,77.471,38.273,1.119,0.486,0.633,0.363,0.27,0.427,0.191,0.162,0.043
Ryan Jeffers,Jr,UNCW,C,279,0.501,77.491,38.152,1.137,0.502,0.635,0.315,0.32,0.323,0.158,0.183,0.057
Kyle Hubbuch,Sr,North Ala.,INF,230,0.501,63.881,31.451,1.133,0.522,0.611,0.33,0.281,0.395,0.23,0.209,0.052
Trevor Larnach,Jr,Oregon St.,OF,313,0.5,86.643,42.51,1.125,0.473,0.652,0.348,0.304,0.405,0.211,0.16,0.061
Seth Beer,Jr,Clemson,INF,289,0.498,79.462,38.713,1.133,0.491,0.642,0.301,0.341,0.269,0.125,0.187,0.076
Matt Wallner,So,Southern Miss.,OF,287,0.498,78.912,38.445,1.116,0.498,0.618,0.351,0.267,0.39,0.185,0.167,0.056
David Villar,Jr,South Fla.,INF,268,0.497,73.438,35.65,1.122,0.474,0.648,0.374,0.274,0.446,0.216,0.104,0.045
Francisco Rodriguez,Sr,Tarleton St.,OF,236,0.496,64.45,31.174,1.122,0.466,0.656,0.374,0.282,0.425,0.174,0.097,0.047
Russ Olive,Jr,UMass Lowell,INF,234,0.495,63.686,30.692,1.107,0.466,0.641,0.359,0.282,0.382,0.141,0.137,0.056
Luke Heyer,Sr,Kentucky,INF,243,0.495,66.136,31.873,1.135,0.444,0.691,0.348,0.343,0.383,0.202,0.115,0.074
Gaudencio Lucca,Sr,Texas Southern,INF,252,0.495,68.585,33.053,1.088,0.496,0.592,0.373,0.219,0.429,0.163,0.119,0.036
Andrew Turner,Sr,LIU,INF,207,0.494,56.145,26.958,1.053,0.522,0.531,0.346,0.185,0.44,0.203,0.155,0.024
Rudy Rott,Jr,Ohio,INF,247,0.493,66.765,31.938,1.124,0.47,0.654,0.355,0.299,0.372,0.154,0.121,0.061
Ross Adolph,Jr,Toledo,OF,261,0.493,70.549,33.748,1.121,0.467,0.654,0.322,0.332,0.351,0.18,0.142,0.057
Ross Haffey,Sr,Miami (OH),INF,248,0.493,67.035,32.067,1.122,0.472,0.65,0.315,0.335,0.384,0.246,0.185,0.06
Grant Little,So,Texas Tech,INF,299,0.492,80.542,38.383,1.104,0.462,0.642,0.37,0.272,0.391,0.127,0.134,0.04
Nick Campana,Sr,Hartford,OF,240,0.491,64.426,30.586,1.082,0.471,0.611,0.385,0.226,0.389,0.075,0.092,0.042
Alex Holderbach,Jr,Eastern Ky.,OF,276,0.491,74.09,35.174,1.124,0.467,0.657,0.352,0.305,0.358,0.152,0.145,0.065
Matthew Barefoot,So,Campbell,OF,274,0.49,73.298,34.664,1.074,0.489,0.585,0.364,0.221,0.408,0.139,0.109,0.029
Ryan Ward,Fr,Bryant,OF,270,0.489,71.977,33.907,1.095,0.459,0.636,0.409,0.227,0.399,0.037,0.078,0.03
Justin Dirden,Jr,Southeast Mo. St.,OF,250,0.489,66.645,31.395,1.113,0.448,0.665,0.34,0.325,0.409,0.244,0.12,0.064
Dominic Clementi,So,Michigan,OF,169,0.488,44.895,21.066,1.059,0.485,0.574,0.368,0.206,0.434,0.16,0.172,0.024
David Fry,Sr,Northwestern St.,INF,288,0.487,76.24,35.632,1.094,0.49,0.604,0.327,0.277,0.36,0.16,0.139,0.042
Gabe Snyder,Sr,Wright St.,INF,254,0.486,67.003,31.189,1.121,0.453,0.668,0.359,0.309,0.348,0.106,0.094,0.059
Seth Lancaster,Sr,Coastal Carolina,INF,295,0.486,77.818,36.223,1.107,0.461,0.646,0.305,0.341,0.316,0.186,0.214,0.068
Jj Bleday,So,Vanderbilt,OF,163,0.486,42.998,20.015,1.032,0.521,0.511,0.368,0.143,0.425,0.141,0.19,0.025
Kyle Isbel,Jr,UNLV,OF,278,0.483,72.558,33.36,1.1,0.457,0.643,0.357,0.286,0.386,0.155,0.122,0.05
Tre Todd,Jr,Liberty,C,264,0.483,68.904,31.68,1.049,0.496,0.553,0.315,0.238,0.4,0.231,0.227,0.038
Gage Canning,Jr,Arizona St.,OF,259,0.483,67.599,31.08,1.096,0.448,0.648,0.369,0.279,0.446,0.208,0.093,0.035
Ray Hernandez,Sr,Alabama St.,INF,238,0.482,61.897,28.339,1.07,0.466,0.604,0.381,0.223,0.405,0.134,0.097,0.046
Keegan Mcgovern,Sr,Georgia,OF,258,0.482,67.098,30.72,1.097,0.453,0.644,0.319,0.325,0.331,0.178,0.143,0.07
Logan Wyatt,So,Louisville,INF,299,0.481,77.483,35.324,1.017,0.495,0.522,0.339,0.183,0.383,0.124,0.211,0.02
Kole Cottam,Jr,Kentucky,C,260,0.481,67.376,30.716,1.102,0.435,0.667,0.352,0.315,0.377,0.188,0.119,0.073
Kevin Strohschein,Jr,Tennessee Tech,OF,317,0.481,82.147,37.45,1.092,0.442,0.65,0.375,0.275,0.391,0.139,0.095,0.057
Terrin Vavra,Jr,Minnesota,INF,262,0.481,67.895,30.953,1.091,0.477,0.614,0.386,0.228,0.384,0.084,0.115,0.038
Rylan Thomas,So,UCF,INF,256,0.48,66.102,30.006,1.079,0.492,0.587,0.343,0.244,0.42,0.246,0.141,0.051
Trey Truitt,Sr,Mercer,OF,274,0.48,70.749,32.115,1.076,0.449,0.627,0.373,0.254,0.46,0.212,0.124,0.044
Jacob Pendred,So,Bellarmine,INF,100,0.48,25.821,11.721,1.014,0.49,0.524,0.378,0.146,0.518,0.24,0.14,0.02
Blake Clanton,Sr,Washington St.,OF,184,0.48,47.511,21.567,1.09,0.446,0.644,0.35,0.294,0.426,0.239,0.114,0.054
Mack Nathanson,Sr,Wofford,INF,279,0.48,72.04,32.701,1.068,0.466,0.602,0.338,0.264,0.397,0.194,0.133,0.039
Dwanya Williams-Sutton,Jr,East Carolina,OF,174,0.479,44.767,20.233,1.033,0.477,0.556,0.331,0.225,0.389,0.19,0.144,0.04
Jake Hasbrouck,Sr,Tarleton St.,DH,173,0.478,44.348,19.955,1.098,0.416,0.682,0.331,0.351,0.409,0.283,0.081,0.075
Nick Kitzmann,So,UC San Diego,C,160,0.478,41.016,18.456,1.032,0.475,0.557,0.287,0.27,0.424,0.312,0.138,0.05
Michael Toglia,So,UCLA,INF,278,0.477,71.006,31.808,1.063,0.475,0.588,0.336,0.252,0.404,0.216,0.173,0.04
Jonah Davis,Jr,California,OF,240,0.477,61.3,27.46,1.064,0.458,0.606,0.321,0.285,0.449,0.312,0.112,0.058
Alec Bohm,Jr,Wichita St.,INF,264,0.476,67.185,29.961,1.072,0.447,0.625,0.339,0.286,0.33,0.106,0.148,0.061
Logan Porter,Sr,Dixie St.,INF,220,0.476,55.987,24.967,1.019,0.5,0.519,0.312,0.207,0.331,0.123,0.186,0.027
Will Haueter,Jr,Northern Ky.,INF,237,0.476,60.314,26.897,1.051,0.451,0.6,0.36,0.24,0.384,0.122,0.122,0.038
Griffin Neuer,Sr,Bellarmine,OF,237,0.476,60.314,26.897,1.082,0.46,0.622,0.324,0.298,0.293,0.068,0.16,0.051
Dashawn  Jr. Keirsey,Jr,Utah,OF,224,0.476,57.005,25.421,1.055,0.446,0.609,0.386,0.223,0.44,0.143,0.067,0.018
Nic Ready,Jr,Air Force,INF,258,0.475,65.418,29.04,1.11,0.411,0.699,0.341,0.358,0.382,0.24,0.085,0.078
Quin Cotton,So,Grand Canyon,OF,274,0.475,69.475,30.841,1.033,0.46,0.573,0.39,0.183,0.432,0.109,0.08,0.018
Josh Stowers,Jr,Louisville,OF,289,0.475,73.278,32.529,1.037,0.478,0.559,0.336,0.223,0.365,0.128,0.18,0.031
Jake Hammon,Jr,Morehead St.,INF,240,0.474,60.631,26.791,1.036,0.471,0.565,0.361,0.204,0.382,0.125,0.175,0.038
Hayden White,Sr,Jacksonville St.,C,158,0.474,39.915,17.637,1.023,0.475,0.548,0.357,0.191,0.471,0.241,0.171,0.032
Grant Fennell,Sr,Nevada,INF,236,0.474,59.62,26.344,1.028,0.466,0.562,0.389,0.173,0.493,0.212,0.114,0.021
Steele Walker,Jr,Oklahoma,OF,252,0.474,63.662,28.13,1.058,0.452,0.606,0.352,0.254,0.401,0.19,0.123,0.052
Tyler Durna,Jr,UC San Diego,INF,253,0.474,63.915,28.242,1.025,0.478,0.547,0.333,0.214,0.353,0.099,0.178,0.028
Joey Denison,Sr,Troy,INF,299,0.473,75.258,33.099,1.053,0.462,0.591,0.393,0.198,0.414,0.104,0.097,0.02
Nick Grande,So,Stony Brook,INF,249,0.473,62.673,27.564,1.026,0.466,0.56,0.377,0.183,0.447,0.173,0.112,0.024
Tommy Bell,Sr,California Baptist,OF,224,0.472,56.172,24.588,1.039,0.446,0.593,0.376,0.217,0.404,0.112,0.062,0.027
Drew Avans,Sr,Southeastern La.,OF,260,0.472,65.2,28.54,1.037,0.469,0.568,0.33,0.238,0.365,0.15,0.173,0.038
Steele Netterville,Fr,Louisiana Tech,OF,128,0.471,31.979,13.931,1.035,0.445,0.59,0.324,0.266,0.406,0.234,0.125,0.047
Mickey Gasper,Sr,Bryant,C,261,0.471,65.208,28.407,1.018,0.479,0.539,0.34,0.199,0.341,0.077,0.161,0.031
Matt Dunlevy,Sr,VMI,OF,232,0.471,57.962,25.25,1.032,0.457,0.575,0.339,0.236,0.353,0.116,0.159,0.039
Jordan Stoner,Jr,UT Martin,OF,243,0.471,60.71,26.447,1.021,0.461,0.56,0.382,0.178,0.469,0.181,0.07,0.016
Tyler Cropley,Sr,Iowa,C,242,0.47,60.235,26.113,1.033,0.455,0.578,0.342,0.236,0.358,0.116,0.124,0.037
Christian Sanchez,Jr,Texas Southern,INF,248,0.47,61.729,26.761,1.074,0.423,0.651,0.335,0.316,0.335,0.153,0.117,0.069
Liam Wilson,Sr,Canisius,INF,259,0.469,64.226,27.707,1.053,0.429,0.624,0.353,0.271,0.363,0.093,0.073,0.035
Grant Witherspoon,Jr,Tulane,OF,270,0.469,66.954,28.884,1.039,0.452,0.587,0.33,0.257,0.352,0.133,0.148,0.044
Michael Busch,So,North Carolina,INF,306,0.468,75.596,32.45,1.005,0.484,0.521,0.317,0.204,0.317,0.098,0.18,0.042
Brandt Holland,Sr,North Ala.,INF,212,0.468,52.374,22.482,1.019,0.462,0.557,0.351,0.206,0.405,0.179,0.09,0.038
Peter Battaglia,So,Niagara,INF,203,0.467,49.962,21.339,1.038,0.443,0.595,0.357,0.238,0.39,0.148,0.108,0.034
Will Robertson,So,Creighton,OF,225,0.467,55.376,23.651,1.059,0.418,0.641,0.333,0.308,0.346,0.138,0.076,0.053
Cal Raleigh,Jr,Florida St.,C,284,0.467,69.897,29.853,1.03,0.447,0.583,0.326,0.257,0.352,0.151,0.18,0.046
Nick Kreutzer,Jr,Ark.-Pine Bluff,INF,171,0.466,41.927,17.816,1.011,0.468,0.543,0.319,0.224,0.371,0.17,0.187,0.029
Richie Palacios,Jr,Towson,INF,249,0.466,61.051,25.942,1.001,0.486,0.515,0.301,0.214,0.295,0.064,0.209,0.032
Parker Phillips,So,Austin Peay,INF,239,0.466,58.599,24.9,1.081,0.414,0.667,0.313,0.354,0.321,0.213,0.088,0.079
Caleb Henderson,Sr,New Mexico St.,INF,273,0.466,66.936,28.443,1.032,0.447,0.585,0.341,0.244,0.376,0.154,0.092,0.037
Dane Giesler,Sr,Indiana St.,INF,245,0.465,59.843,25.298,1.05,0.453,0.597,0.304,0.293,0.319,0.192,0.163,0.061
Travis Swaggerty,Jr,South Alabama,OF,273,0.464,66.428,27.935,1.002,0.476,0.526,0.296,0.23,0.307,0.139,0.198,0.048
Matt Sanders,Sr,Troy,INF,311,0.464,75.674,31.823,1.007,0.469,0.538,0.378,0.16,0.412,0.106,0.141,0.016
Steven Kraft,Sr,Western Ky.,INF,206,0.464,50.125,21.079,0.975,0.481,0.494,0.382,0.112,0.444,0.131,0.141,0.01
Luken Baker,Jr,TCU,INF,139,0.464,33.822,14.223,1.028,0.453,0.575,0.319,0.256,0.31,0.129,0.173,0.065
Jameson Hannah,Jr,DBU,OF,296,0.464,72.024,30.288,1.01,0.456,0.554,0.363,0.191,0.407,0.132,0.132,0.02
Tristan Pompey,Jr,Kentucky,OF,223,0.464,54.262,22.819,1.01,0.453,0.557,0.335,0.222,0.42,0.211,0.148,0.031
Jesse Wilkening,Jr,Nebraska,C,237,0.463,57.448,24.031,1.031,0.443,0.588,0.372,0.216,0.406,0.152,0.101,0.038
Thomas Dillard,So,Ole Miss,C,282,0.462,68.093,28.331,1.017,0.454,0.563,0.31,0.253,0.345,0.177,0.174,0.046
Hunter Lee,Sr,High Point,INF,265,0.462,63.988,26.623,0.995,0.464,0.531,0.338,0.193,0.376,0.14,0.158,0.03
Brennon Kaleiwahea,Sr,Tennessee Tech,C,287,0.462,69.3,28.833,1.0,0.46,0.54,0.367,0.173,0.432,0.167,0.125,0.028
Niko Hulsizer,Jr,Morehead St.,OF,207,0.462,49.983,20.796,1.045,0.43,0.615,0.314,0.301,0.339,0.193,0.101,0.058
Pavin Parks,Jr,Kent St.,INF,236,0.462,56.986,23.71,0.99,0.47,0.52,0.285,0.235,0.355,0.208,0.229,0.03
Jake Farrell,Jr,Northeastern,INF,258,0.462,62.298,25.92,1.053,0.422,0.631,0.342,0.289,0.369,0.155,0.105,0.043
Jake Richmond,Sr,Northern Ky.,INF,145,0.462,35.012,14.567,1.021,0.441,0.58,0.286,0.294,0.371,0.29,0.186,0.062
Zach Heeke,So,Central Mich.,INF,252,0.462,60.849,25.317,0.927,0.508,0.419,0.346,0.073,0.43,0.147,0.163,0.004
Kamren Dukes,Sr,Texas Southern,INF,269,0.461,64.704,26.775,0.992,0.454,0.538,0.391,0.147,0.469,0.16,0.056,0.011
Ben Anderson,Fr,Furman,OF,243,0.461,58.45,24.187,0.991,0.461,0.53,0.361,0.169,0.458,0.198,0.144,0.012
Eric Jones,Jr,Davidson,INF,243,0.461,58.45,24.187,1.016,0.444,0.572,0.328,0.244,0.353,0.148,0.152,0.045
Mike Farnell,Jr,Murray St.,C,209,0.461,50.272,20.803,1.004,0.45,0.554,0.319,0.235,0.413,0.258,0.144,0.048
Eddie Silva,Jr,FIU,INF,177,0.46,42.41,17.453,1.07,0.384,0.686,0.321,0.365,0.315,0.181,0.062,0.09
Aaron Aucker,Sr,Middle Tenn.,INF,249,0.46,59.662,24.553,1.041,0.418,0.623,0.34,0.283,0.379,0.201,0.072,0.056
Davis Sims,So,Murray St.,INF,264,0.46,63.256,26.032,1.012,0.439,0.573,0.357,0.216,0.383,0.11,0.087,0.023
Noah Mcgowan,Sr,Ohio St.,INF,271,0.459,64.681,26.47,1.015,0.454,0.561,0.351,0.21,0.397,0.17,0.122,0.033
Bryson Stott,So,UNLV,INF,292,0.459,69.693,28.521,1.005,0.449,0.556,0.365,0.191,0.378,0.062,0.11,0.014
Tyler Frank,Jr,Fla. Atlantic,INF,303,0.459,72.318,29.595,1.002,0.455,0.547,0.3,0.247,0.308,0.119,0.172,0.043
Corey Joyce,So,N.C. Central,INF,218,0.459,52.031,21.293,0.996,0.454,0.542,0.358,0.184,0.408,0.156,0.147,0.028
Jacson Mcgowan,Jr,Purdue,INF,260,0.459,62.055,25.395,1.013,0.469,0.544,0.304,0.24,0.336,0.196,0.188,0.05
Trevor Ezell,Jr,Southeast Mo. St.,INF,260,0.459,62.055,25.395,1.004,0.446,0.558,0.377,0.181,0.431,0.146,0.096,0.023
Kyle Mccann,So,Georgia Tech,C,233,0.458,55.394,22.541,1.029,0.429,0.6,0.3,0.3,0.347,0.24,0.159,0.064
Jordan Nwogu,Fr,Michigan,OF,154,0.458,36.613,14.899,1.013,0.442,0.571,0.349,0.222,0.422,0.221,0.097,0.039
Troy Beilsmith,So,Evansville,INF,217,0.458,51.59,20.993,1.006,0.442,0.564,0.335,0.229,0.384,0.161,0.101,0.032
Griffin Conine,Jr,Duke,OF,274,0.458,65.142,26.508,1.039,0.431,0.608,0.286,0.322,0.343,0.27,0.157,0.066
Caleb Longley,Sr,ETSU,OF,226,0.458,53.73,21.864,1.056,0.412,0.644,0.309,0.335,0.388,0.292,0.088,0.062
Blaze Glenn,So,Youngstown St.,INF,247,0.458,58.723,23.896,1.003,0.445,0.558,0.325,0.233,0.331,0.121,0.158,0.045
Carson Shaddy,Sr,Arkansas,INF,239,0.457,56.599,22.9,1.04,0.431,0.609,0.33,0.279,0.416,0.264,0.113,0.054
Stephen Scott,Jr,Vanderbilt,OF,212,0.457,50.205,20.313,1.026,0.425,0.601,0.268,0.333,0.291,0.236,0.16,0.071
Joe Genord,Jr,South Fla.,INF,205,0.457,48.547,19.642,1.048,0.415,0.633,0.306,0.327,0.3,0.171,0.098,0.078
Christ Conley,Sr,Canisius,C,240,0.456,56.612,22.772,0.954,0.483,0.471,0.285,0.186,0.284,0.088,0.208,0.029
Cesar Trejo,Jr,UNC Greensboro,INF,233,0.456,54.961,22.108,1.015,0.446,0.569,0.363,0.206,0.423,0.176,0.103,0.021
Cameron Warren,Jr,Texas Tech,OF,266,0.456,62.745,25.239,0.993,0.444,0.549,0.326,0.223,0.337,0.113,0.128,0.038
Nate Grys,Jr,Western Mich.,OF,185,0.456,43.638,17.553,1.033,0.422,0.611,0.306,0.305,0.392,0.281,0.124,0.054
Kody Funderburk,Jr,DBU,INF,268,0.456,63.217,25.429,1.013,0.429,0.584,0.304,0.28,0.342,0.198,0.175,0.049
Brian Davis,Sr,Florida A&M,INF,229,0.455,53.804,21.515,0.944,0.476,0.468,0.306,0.162,0.366,0.17,0.148,0.022
Braxton Morris,Sr,Morehead St.,INF,318,0.454,74.419,29.581,0.99,0.443,0.547,0.367,0.18,0.376,0.082,0.101,0.022
Matt Cogen,So,Belmont,OF,261,0.454,61.08,24.279,1.015,0.429,0.586,0.372,0.214,0.374,0.08,0.077,0.038
Garrett Giovannelli,Sr,Austin Peay,INF,269,0.454,62.952,25.023,0.998,0.435,0.563,0.364,0.199,0.379,0.086,0.115,0.022
Peyton Burdick,So,Wright St.,OF,279,0.454,65.292,25.953,1.006,0.437,0.569,0.347,0.222,0.361,0.125,0.111,0.032
Kevin Woodall Jr.,Sr,Coastal Carolina,INF,294,0.454,68.803,27.349,1.022,0.446,0.576,0.298,0.278,0.331,0.221,0.15,0.065
Reynaldo Pastrana,Jr,Marshall,C,226,0.453,52.679,20.813,1.028,0.412,0.616,0.355,0.261,0.41,0.221,0.08,0.058
Dawnoven Smith,Jr,N.C. A&T,OF,190,0.453,44.288,17.498,1.007,0.411,0.596,0.331,0.265,0.392,0.2,0.058,0.042
Patrick Bailey,Fr,NC State,C,223,0.453,51.98,20.537,1.021,0.417,0.604,0.321,0.283,0.326,0.143,0.126,0.058
Nick Gonzales,Fr,New Mexico St.,INF,230,0.453,53.611,21.181,1.018,0.422,0.596,0.347,0.249,0.387,0.17,0.1,0.039
Chris Cook,Sr,ETSU,INF,253,0.453,58.973,23.3,0.991,0.443,0.548,0.364,0.184,0.399,0.115,0.095,0.024
Nicholas Gaddis,Jr,Jacksonville St.,C,256,0.452,59.434,23.338,1.015,0.43,0.585,0.324,0.261,0.341,0.148,0.125,0.039
Mason Berne,Sr,UNCW,INF,277,0.452,64.309,25.252,0.996,0.444,0.552,0.343,0.209,0.4,0.199,0.112,0.043
Zac Wiley,Sr,Bellarmine,INF,218,0.452,50.611,19.873,1.005,0.422,0.583,0.348,0.235,0.392,0.179,0.096,0.041
Joe Drpich,Sr,Siena,INF,242,0.451,55.958,21.836,1.022,0.413,0.609,0.355,0.254,0.369,0.14,0.058,0.054
John Ham,Jr,Tennessee Tech,INF,295,0.451,68.214,26.619,1.0,0.424,0.576,0.317,0.259,0.339,0.153,0.139,0.044
Chet Niehaus,Sr,Nicholls St.,OF,278,0.451,64.283,25.085,0.952,0.464,0.488,0.321,0.167,0.337,0.09,0.155,0.025
Davis Wendzel,So,Baylor,INF,269,0.45,61.951,24.022,0.978,0.446,0.532,0.31,0.222,0.343,0.149,0.145,0.03
Shaine Hughes,Sr,Monmouth,INF,233,0.45,53.66,20.807,0.965,0.485,0.48,0.316,0.164,0.338,0.12,0.142,0.034
Zachary Owings,So,Eastern Mich.,INF,215,0.45,49.515,19.2,0.977,0.447,0.53,0.35,0.18,0.372,0.107,0.14,0.028
Nick Walker,Sr,Austin Peay,OF,215,0.45,49.515,19.2,0.987,0.437,0.55,0.292,0.258,0.381,0.265,0.172,0.047
Michael Helman,Jr,Texas A&M,INF,292,0.45,67.248,26.076,0.975,0.449,0.526,0.369,0.157,0.404,0.106,0.096,0.021
Brandon Gutzler,Sr,Murray St.,OF,219,0.45,50.436,19.557,0.996,0.425,0.571,0.351,0.22,0.385,0.16,0.11,0.046
Jared Mang,Jr,New Mexico,INF,131,0.45,30.17,11.699,0.984,0.435,0.549,0.284,0.265,0.284,0.153,0.145,0.061
Joshua Zamora,Fr,Nevada,INF,214,0.45,49.285,19.111,0.993,0.43,0.563,0.355,0.208,0.35,0.084,0.075,0.042
Nick Gatewood,Jr,Georgia St.,C,222,0.449,50.921,19.619,1.018,0.45,0.568,0.322,0.246,0.338,0.171,0.108,0.059
Zack Leone,Sr,Valparaiso,INF,206,0.449,47.251,18.205,0.953,0.456,0.497,0.347,0.15,0.378,0.107,0.121,0.019
Devin Foyle,Jr,Kansas,OF,240,0.449,55.049,21.209,0.995,0.417,0.578,0.33,0.248,0.347,0.129,0.1,0.042
Brock Hale,Jr,BYU,OF,225,0.449,51.609,19.884,0.987,0.436,0.551,0.342,0.209,0.371,0.133,0.098,0.036
Nick Quintana,So,Arizona,INF,252,0.449,57.802,22.27,1.013,0.421,0.592,0.313,0.279,0.34,0.187,0.127,0.056
Brooks Carlson,Fr,Samford,INF,268,0.449,61.472,23.684,0.981,0.429,0.552,0.343,0.209,0.373,0.138,0.104,0.037
Trevor Putzig,Sr,Tennessee Tech,INF,283,0.449,64.912,25.009,1.013,0.424,0.589,0.312,0.277,0.303,0.145,0.159,0.06
Reid Leonard,Jr,Morehead St.,INF,314,0.448,71.731,27.457,0.932,0.468,0.464,0.344,0.12,0.369,0.086,0.175,0.013
Mike Echavia,Sr,Nevada,OF,235,0.448,53.684,20.549,0.983,0.443,0.54,0.337,0.203,0.397,0.183,0.102,0.026
Scotty Bradley,So,Indiana,INF,171,0.448,39.064,14.953,0.975,0.439,0.536,0.326,0.21,0.38,0.181,0.129,0.041
Daniel Lingua,Jr,Prairie View,INF,226,0.448,51.628,19.762,0.908,0.496,0.412,0.35,0.062,0.413,0.119,0.177,0.0
Matt Burkart,So,Northern Colo.,INF,241,0.447,54.83,20.849,0.98,0.423,0.557,0.325,0.232,0.492,0.324,0.104,0.033
Ace Felder,Jr,Grambling,INF,156,0.447,35.492,13.496,0.899,0.487,0.412,0.333,0.079,0.4,0.128,0.205,0.0
Tyler Niemann,Sr,Morehead St.,INF,239,0.447,54.375,20.676,1.002,0.41,0.592,0.34,0.252,0.366,0.134,0.079,0.029
Ryan Fitzpatrick,Sr,UC Irvine,INF,242,0.447,55.058,20.936,0.976,0.45,0.526,0.307,0.219,0.34,0.157,0.136,0.033
T.J. Collett,So,Kentucky,INF,149,0.447,33.899,12.89,0.999,0.423,0.576,0.304,0.272,0.326,0.201,0.121,0.067
Spencer Henson,So,Oral Roberts,INF,239,0.447,54.375,20.676,0.98,0.439,0.541,0.364,0.177,0.443,0.222,0.096,0.042
Beau Brundage,So,Portland,OF,239,0.446,54.153,20.454,0.949,0.456,0.493,0.378,0.115,0.464,0.172,0.092,0.004
Marshawn Taylor,Sr,Grambling,INF,248,0.446,56.192,21.224,0.934,0.48,0.454,0.404,0.05,0.427,0.056,0.101,0.0
Luke Morton,Jr,Tarleton St.,INF,113,0.446,25.604,9.671,0.959,0.442,0.517,0.31,0.207,0.4,0.239,0.15,0.027
Owen Miller,Jr,Illinois St.,INF,254,0.446,57.552,21.738,0.97,0.433,0.537,0.384,0.153,0.404,0.091,0.071,0.024
Charlie Carpenter,Sr,USC Upstate,INF,232,0.446,52.567,19.855,0.947,0.483,0.464,0.323,0.141,0.403,0.198,0.121,0.017
